rgn_id,year,key_sp,score
Main Hawaiian Islands,2012,Acan_Kala (Naso brevirostris),0.47
Main Hawaiian Islands,2012,Acan_Kala (Naso unicornis),0.1
Main Hawaiian Islands,2013,Acan_Kala (Naso brevirostris),0.47
Main Hawaiian Islands,2013,Acan_Kala (Naso unicornis),0.1
Main Hawaiian Islands,2014,Acan_Kala (Naso brevirostris),0.47
Main Hawaiian Islands,2014,Acan_Kala (Naso unicornis),0.1
Main Hawaiian Islands,2015,Acan_Kala (Naso brevirostris),0.47
Main Hawaiian Islands,2015,Acan_Kala (Naso unicornis),0.1
Main Hawaiian Islands,2016,Acan_Kala (Naso brevirostris),0.47
Main Hawaiian Islands,2016,Acan_Kala (Naso unicornis),0.1
Main Hawaiian Islands,2012,Acan_Opelu kala,0.43
Main Hawaiian Islands,2013,Acan_Opelu kala,0.43
Main Hawaiian Islands,2014,Acan_Opelu kala,0.43
Main Hawaiian Islands,2015,Acan_Opelu kala,0.43
Main Hawaiian Islands,2016,Acan_Opelu kala,0.43
Main Hawaiian Islands,2012,Acan_Palani,1.2
Main Hawaiian Islands,2013,Acan_Palani,1.2
Main Hawaiian Islands,2014,Acan_Palani,1.2
Main Hawaiian Islands,2015,Acan_Palani,1.2
Main Hawaiian Islands,2016,Acan_Palani,1.2
Main Hawaiian Islands,2012,Acan_Pualu,0.4
Main Hawaiian Islands,2013,Acan_Pualu,0.4
Main Hawaiian Islands,2014,Acan_Pualu,0.4
Main Hawaiian Islands,2015,Acan_Pualu,0.4
Main Hawaiian Islands,2016,Acan_Pualu,0.4
Main Hawaiian Islands,2012,Acan_Umaumalei,0.83
Main Hawaiian Islands,2013,Acan_Umaumalei,0.83
Main Hawaiian Islands,2014,Acan_Umaumalei,0.83
Main Hawaiian Islands,2015,Acan_Umaumalei,0.83
Main Hawaiian Islands,2016,Acan_Umaumalei,0.83
Main Hawaiian Islands,2011,Carc_Blue,1.59
Main Hawaiian Islands,2012,Carc_Blue,1.59
Main Hawaiian Islands,2013,Carc_Blue,1.59
Main Hawaiian Islands,2014,Carc_Blue,1.59
Main Hawaiian Islands,2015,Carc_Blue,1.71
Main Hawaiian Islands,2016,Carc_Blue,1.71
Main Hawaiian Islands,2012,Holo_Menpachi,1.97
Main Hawaiian Islands,2013,Holo_Menpachi,1.97
Main Hawaiian Islands,2014,Holo_Menpachi,1.97
Main Hawaiian Islands,2015,Holo_Menpachi,1.97
Main Hawaiian Islands,2016,Holo_Menpachi,1.97
Main Hawaiian Islands,2010,Isti_Blue marlin,1.13
Main Hawaiian Islands,2011,Isti_Blue marlin,1.17
Main Hawaiian Islands,2012,Isti_Blue marlin,1.18
Main Hawaiian Islands,2013,Isti_Blue marlin,1.25
Main Hawaiian Islands,2014,Isti_Blue marlin,1.25
Main Hawaiian Islands,2015,Isti_Blue marlin,1.263
Main Hawaiian Islands,2016,Isti_Blue marlin,1.283
Main Hawaiian Islands,2010,Isti_Striped marlin,0.35
Main Hawaiian Islands,2011,Isti_Striped marlin,0.31
Main Hawaiian Islands,2012,Isti_Striped marlin,0.36
Main Hawaiian Islands,2013,Isti_Striped marlin,0.39
Main Hawaiian Islands,2014,Isti_Striped marlin,0.36
Main Hawaiian Islands,2015,Isti_Striped marlin,0.36
Main Hawaiian Islands,2016,Isti_Striped marlin,0.36
Main Hawaiian Islands,2012,Leth_Mu,1.27
Main Hawaiian Islands,2013,Leth_Mu,1.27
Main Hawaiian Islands,2014,Leth_Mu,1.27
Main Hawaiian Islands,2015,Leth_Mu,1.27
Main Hawaiian Islands,2016,Leth_Mu,1.27
Main Hawaiian Islands,2010,Lutj_Ehu,1.21
Main Hawaiian Islands,2011,Lutj_Ehu,1.22
Main Hawaiian Islands,2012,Lutj_Ehu,1.22
Main Hawaiian Islands,2013,Lutj_Ehu,1.24
Main Hawaiian Islands,2014,Lutj_Ehu,1.28
Main Hawaiian Islands,2015,Lutj_Ehu,1.31
Main Hawaiian Islands,2016,Lutj_Ehu,1.26
Main Hawaiian Islands,2010,Lutj_Gindai,1.21
Main Hawaiian Islands,2011,Lutj_Gindai,1.22
Main Hawaiian Islands,2012,Lutj_Gindai,1.22
Main Hawaiian Islands,2013,Lutj_Gindai,1.24
Main Hawaiian Islands,2014,Lutj_Gindai,1.28
Main Hawaiian Islands,2015,Lutj_Gindai,1.31
Main Hawaiian Islands,2016,Lutj_Gindai,1.26
Main Hawaiian Islands,2010,Lutj_Kalekale,1.21
Main Hawaiian Islands,2011,Lutj_Kalekale,1.22
Main Hawaiian Islands,2012,Lutj_Kalekale,1.22
Main Hawaiian Islands,2013,Lutj_Kalekale,1.24
Main Hawaiian Islands,2014,Lutj_Kalekale,1.28
Main Hawaiian Islands,2015,Lutj_Kalekale,1.31
Main Hawaiian Islands,2016,Lutj_Kalekale,1.26
Main Hawaiian Islands,2010,Lutj_Lehi,1.21
Main Hawaiian Islands,2011,Lutj_Lehi,1.22
Main Hawaiian Islands,2012,Lutj_Lehi,1.22
Main Hawaiian Islands,2013,Lutj_Lehi,1.24
Main Hawaiian Islands,2014,Lutj_Lehi,1.28
Main Hawaiian Islands,2015,Lutj_Lehi,1.31
Main Hawaiian Islands,2016,Lutj_Lehi,1.26
Main Hawaiian Islands,2010,Lutj_Onaga,1.21
Main Hawaiian Islands,2011,Lutj_Onaga,1.22
Main Hawaiian Islands,2012,Lutj_Onaga,1.22
Main Hawaiian Islands,2013,Lutj_Onaga,1.24
Main Hawaiian Islands,2014,Lutj_Onaga,1.28
Main Hawaiian Islands,2015,Lutj_Onaga,1.31
Main Hawaiian Islands,2016,Lutj_Onaga,1.26
Main Hawaiian Islands,2010,Lutj_Opakapaka,1.21
Main Hawaiian Islands,2011,Lutj_Opakapaka,1.22
Main Hawaiian Islands,2012,Lutj_Opakapaka,1.22
Main Hawaiian Islands,2013,Lutj_Opakapaka,1.24
Main Hawaiian Islands,2014,Lutj_Opakapaka,1.28
Main Hawaiian Islands,2015,Lutj_Opakapaka,1.31
Main Hawaiian Islands,2016,Lutj_Opakapaka,1.26
Main Hawaiian Islands,2012,Lutj_Taape,2.07
Main Hawaiian Islands,2013,Lutj_Taape,2.07
Main Hawaiian Islands,2014,Lutj_Taape,2.07
Main Hawaiian Islands,2015,Lutj_Taape,2.07
Main Hawaiian Islands,2016,Lutj_Taape,2.07
Main Hawaiian Islands,2012,Lutj_Toau,1.1
Main Hawaiian Islands,2013,Lutj_Toau,1.1
Main Hawaiian Islands,2014,Lutj_Toau,1.1
Main Hawaiian Islands,2015,Lutj_Toau,1.1
