rgn_id,year,rgn_name,heiau,archaeological ,buildings,total
Hawaii Island,2011,Hawaii,275,28713,497,29485
Maui Nui,2011,Maui Nui,278,12230,140,12648
Oahu,2011,Oahu,145,7108,143,7396
Kauai & Niihau,2011,Kauai,135,1954,77,2166
