rng_id,Island,Watershed,AreaAcres,AreaSqKm,Area (Sq km),Area (Sq m),Area of Impervious (Sq m),Area of Ag (Sq m),Area of GolfCourse (Sq m),Shape_Area_m2,pct_imperv,pct_ag,pct_golf
South West Hawaii,Hawaii,Kaloko Fishpond,20740.48173,83.933752,0.198237,198237,6286247,826578,1019249,83933751.68,0.074895,0.009848,0.012143
South West Hawaii,Hawaii,Manuka Bay,28011.71943,113.359407,0,0,517021,15141414,0,113359406.7,0.004561,0.13357,0
South West Hawaii,Hawaii,Kealakekua Bay,28695.26887,116.125633,0.146834,146834,1453256,2922026,0,116125633.1,0.012515,0.025163,0
South West Hawaii,Hawaii,Pali O Kulani,20618.12022,83.438572,0.013472,13472,247257,0,0,83438572.24,0.002963,0,0
South West Hawaii,Hawaii,Kiilae Watercourse,60327.94209,244.13852,0.083485,83485,1289401,4736453,0,244138519.9,0.005281,0.019401,0
South West Hawaii,Hawaii,Keauhou Bay,115949.1885,469.229718,0.400585,400585,7676455,9678171,1377910,469229718.2,0.01636,0.020626,0.002937
South West Hawaii,Hawaii,Waiaha Stream,21961.99701,88.877049,0.090349,90349,4210474,2827750,0,88877048.64,0.047374,0.031816,0
South West Hawaii,Hawaii,Kauhako Bay,89502.13374,362.202285,0.144953,144953,1874515,2503063,0,362202284.7,0.005175,0.006911,0
South West Hawaii,Hawaii,Haliipalala,22827.28719,92.378754,0.042702,42702,355768,3244,0,92378753.78,0.003851,0.000035,0
South West Hawaii,Hawaii,Pohue Bay,45657.58347,184.769685,0.324245,324245,4459619,182837,0,184769684.9,0.024136,0.00099,0
South West Hawaii,Hawaii,Honokohau Bay,13253.4393,53.634766,0.080426,80426,3107080,447219,0,53634765.93,0.05793,0.008338,0
South West Hawaii,Hawaii,Mahana Bay,20068.00472,81.212334,0.036337,36337,452933,583823,0,81212333.78,0.005577,0.007189,0
South West Hawaii,Hawaii,Honomalino Bay,37780.70746,152.893099,0.098024,98024,1453147,3588799,0,152893098.6,0.009504,0.023473,0
North West Hawaii,Hawaii,Pauoa Bay,197432.9907,798.982966,0.68471,684710,3701413,0,216649,798982966.3,0.004633,0,0.000271
North West Hawaii,Hawaii,Kiholo Bay,18820.54384,76.164039,0,0,230535,0,0,76164038.73,0.003027,0,0
North West Hawaii,Hawaii,Hapuna Bay,11059.3888,44.755759,0.020421,20421,805263,0,779727,44755758.57,0.017992,0,0.017422
North West Hawaii,Hawaii,Kapole Gulch,18719.46296,75.754979,0.013737,13737,561646,6871,0,75754978.9,0.007414,0.000091,0
North West Hawaii,Hawaii,Puako Bay,110718.5676,448.062147,0.342778,342778,4402268,26666,498631,448062146.5,0.009825,0.00006,0.001113
North West Hawaii,Hawaii,Kohala Ditch,15350.11396,62.119707,0.066001,66001,2077721,2352033,58954,62119707.24,0.033447,0.037863,0.000949
North West Hawaii,Hawaii,Makeahua Gulch,13959.79058,56.493268,0.032127,32127,684647,1215,0,56493268.16,0.012119,0.000022,0
North West Hawaii,Hawaii,Opaeula Pond,9505.09877,38.46577,0.018495,18495,1148556,97404,695946,38465770,0.029859,0.002532,0.018093
North West Hawaii,Hawaii,Puakea Reservoir,11964.32051,48.417887,0.011835,11835,657689,94122,0,48417887.31,0.013584,0.001944,0
North West Hawaii,Hawaii,Waiulaula Gulch,36056.08176,145.913786,0.267225,267225,3461034,1586595,36856,145913786,0.02372,0.010874,0.000253
North West Hawaii,Hawaii,Keawaiki Bay,97930.24836,396.309655,0.016146,16146,1180913,0,417950,396309654.5,0.00298,0,0.001055
North West Hawaii,Hawaii,Kahuwai Bay,23461.88636,94.946886,0.007645,7645,1146916,93863,1070170,94946885.5,0.01208,0.000989,0.011271
North West Hawaii,Hawaii,Waipuhi Fishpond,13603.78844,55.052579,0.014543,14543,568814,0,349605,55052578.61,0.010332,0,0.00635
North West Hawaii,Hawaii,Anaehoomalu Bay,9935.799463,40.208754,0.020571,20571,1406474,0,1379371,40208753.87,0.034979,0,0.034305
North West Hawaii,Hawaii,Honokoa Gulch,17088.69504,69.155495,0.08266,82660,1446311,18764,0,69155495.29,0.020914,0.000271,0
