rgn_id,Type,Common Name,Hawaiian Name,Species name,ESA Status,score
Main Hawaiian Islands,Coastal Plant,,_Anaunau,Lepidium bedentatum,v,1
Main Hawaiian Islands,Coastal Plant,,_Ena_ena,Psuedognaphalium sandwicensium,,1
Main Hawaiian Islands,Coastal Plant,,_Ihi,Portulaca molokiniensis,e,0.25
Main Hawaiian Islands,Coastal Plant,,_Ihi,Portulaca lutea,,1
Main Hawaiian Islands,Coastal Plant,,_Ilima,Sida fallax,,1
Main Hawaiian Islands,Coastal Plant,,_Ohai,Sesbania tomentosa,e,0.25
Main Hawaiian Islands,Coastal Plant,,_Ohelo kai,Lycium sandwicense,,1
Main Hawaiian Islands,Coastal Plant,,_Uhaloa/Hi_aloa,Waltheria indica,,1
Main Hawaiian Islands,Coastal Plant,,Ahuawa,Mariscus javanicus,,1
Main Hawaiian Islands,Coastal Plant,,Akaakai,Schoenoplectella tabernae-montani,,1
Main Hawaiian Islands,Coastal Plant,,Alena,Boerhavia repens,,1
Main Hawaiian Islands,Coastal Plant,Bastard sandalwood,Naio,Myoporum sandwicense,,1
Main Hawaiian Islands,Coastal Plant,Beach morning glory,Pohuehue,Ipomoea pes-caprae,,1
Main Hawaiian Islands,Coastal Plant,Beach Naupaka,Naupaka kahakai,Scaevola sericea,,1
Main Hawaiian Islands,Coastal Plant,Beach pea,nanea,Vigna marina,,1
Main Hawaiian Islands,Coastal Plant,Beach vitex,Pohinahina,Vitex rotundifolia,,1
Main Hawaiian Islands,Coastal Plant,"Caper bush,",Pua pilo or Maiapilo,Capparis sandwichiana,v,1
Main Hawaiian Islands,Coastal Plant,Coastal morning glory,Koali_awa,Ipomoea littoralis,,1
Main Hawaiian Islands,Coastal Plant,Coastal sandalwood,coastal sandalwood,Santalum ellipticum ,v,1
Main Hawaiian Islands,Coastal Plant,Coconut palm,Niu,Cocos nucifera,,1
Main Hawaiian Islands,Coastal Plant,,Degener_s _akoko,Euphorbia degeneri,v,1
Main Hawaiian Islands,Coastal Plant,Dwarf naupaka,Dwarf naupaka,Scaevola coriacsea,e,0.25
Main Hawaiian Islands,Coastal Plant,East Maui _Akoko,_Akoko,Euphorbia celastroides var. laechiensis,e,0.25
Main Hawaiian Islands,Coastal Plant,Hairy Purslane,_Ihi,Portulaca villosa,e,0.25
Main Hawaiian Islands,Coastal Plant,,Hau,Talipariti tiliaceus,,1
Main Hawaiian Islands,Coastal Plant,Hawaiian Cotton,Ma_o,Gossypium tomentosum,v,1
Main Hawaiian Islands,Coastal Plant,,Hinahina,Heliotropium anomalum,,1
Main Hawaiian Islands,Coastal Plant,,Hinahina Kahakai,Nama sandwicensis,v,1
Main Hawaiian Islands,Coastal Plant,,Hunakai,Ipomoea imperati,,1
Main Hawaiian Islands,Coastal Plant,Indian morning glory,Koali_awa,Ipomoea indica,,1
Main Hawaiian Islands,Coastal Plant,Ivy-leaved morning glory,Koali_ai,Ipomoea cairica,,1
Main Hawaiian Islands,Coastal Plant,,Ka_ena _akoko,Euphorbia celastroides var. kaenana,e,0.25
Main Hawaiian Islands,Coastal Plant,,Kalo,Colocasia esculenta,,1
Main Hawaiian Islands,Coastal Plant,Alexandrian Laurel,Kamai,Calophyllum inophyllum,,1
Main Hawaiian Islands,Coastal Plant,,Kauna_oa,Cuscuta sandwichiana,,1
Main Hawaiian Islands,Coastal Plant,,Kawelu,Eragrostis variabilis,,1
Main Hawaiian Islands,Coastal Plant,Kilauea Portulaca,_Ihi makole,Portulaca sclerocarpa,e,0.25
Main Hawaiian Islands,Coastal Plant,,Makaloa,Cyperus laevigatus,,1
Main Hawaiian Islands,Coastal Plant,,Mau_u/_Aki_aki,Fimbristylis cymosa subsp. Spathacea,,1
Main Hawaiian Islands,Coastal Plant,,Mau_u/_Aki_aki,Fimbristylis cymosa subsp. Umbellato-capitata,,1
Main Hawaiian Islands,Coastal Plant,,Milo,Thespesia populnea,,1
Main Hawaiian Islands,Coastal Plant,Moonseed,Huehue,Cocculus orbiculatus,,1
Main Hawaiian Islands,Coastal Plant,,Nehe,Melanthera integrifolia,v,1
Main Hawaiian Islands,Coastal Plant,,Nehe,Lipochaeta succulenta,,1
Main Hawaiian Islands,Coastal Plant,,neke Fern,Cyperus interruptus,,1
Main Hawaiian Islands,Coastal Plant,,Nena/Kipukai,Heliotropium curassavicum,,1
Main Hawaiian Islands,Coastal Plant,,Pa_uohi_iaka,Jacquemontia ovalifolia,,1
Main Hawaiian Islands,Coastal Plant,Pandanus,hala/Pu hala,Pandanus tectorius,,1
Main Hawaiian Islands,Coastal Plant,,Popolo,Solanum nelsonii,e,0.25
Main Hawaiian Islands,Coastal Plant,Puncture vine,Nohu,Tribulus cistoides,,1
Main Hawaiian Islands,Coastal Plant,,Puukaa,Cyperus trachysanthos,e,0.25
Main Hawaiian Islands,Coastal Plant,,Schidea,Schiedea globosa,v,1
Main Hawaiian Islands,Coastal Plant,Sea purslane,_Akulikuli,Sesuvium portulacastrum,,1
Main Hawaiian Islands,Coastal Plant,Seashore rushgrass,_Aki_aki,Sporobolus virginicus,,1
Main Hawaiian Islands,Coastal Plant,,Uki,Cladium jamaicense,,1
Main Hawaiian Islands,Coastal Plant,Water Hyssop,_Ae_ae,Bacopa monnieri,,1
Main Hawaiian Islands,Marine Bird,Band-rumped strom-petrel,,Oceanodroma castro,,0.25
Main Hawaiian Islands,Marine Bird,Black-footed albatross,,Phoebastria nigripes,,0.7
Main Hawaiian Islands,Marine Bird,Black noddy,,Anous stolidus pileatus,,0.7
Main Hawaiian Islands,Marine Bird,Black-winged petrel,,Pterodroma nigripennis,,1
Main Hawaiian Islands,Marine Bird,Blue noddy,,Procelesterna cerulean,,0.7
Main Hawaiian Islands,Marine Bird,Brown booby,,Sula leucogaster,,0.7
Main Hawaiian Islands,Marine Bird,Brown noddy,,Anous stolidus,,1
Main Hawaiian Islands,Marine Bird,Bulwer's Petrel,,Bulweria bulwerii,,0.7
Main Hawaiian Islands,Marine Bird,Christmas shearwater,,Puffinus nativitatis,,0.7
Main Hawaiian Islands,Marine Bird,Cook_s Petrel,,Pterodroma cookii,,1
Main Hawaiian Islands,Marine Bird,Gray-backed tern,,"Onychonprion lunatus, Sterna lunata",,0.7
Main Hawaiian Islands,Marine Bird,Great frigatebird,,Fregata minor,,0.7
Main Hawaiian Islands,Marine Bird,Hawaiian black noddy,,Anous minutus melanogenys,,0.7
Main Hawaiian Islands,Marine Bird,Hawaiian petrel (dark-rumped petrel),,Pterodroma phaeopygia sandwichensis,,0.25
Main Hawaiian Islands,Marine Bird,Juan Fernandez petrel,,Pterodroma externa,,1
Main Hawaiian Islands,Marine Bird,Laysan albatross,,Phoebastria immutabilis,,0.7
Main Hawaiian Islands,Marine Bird,Masked Booby,,Sula dactylatra,,0.7
Main Hawaiian Islands,Marine Bird,Mottled petrel,,Pterodroma inexpectata,,1
Main Hawaiian Islands,Marine Bird,Newell's shearwater,,Puffinus newelli,,0.25
Main Hawaiian Islands,Marine Bird,Red-footed booby,,Sula sula,,1
Main Hawaiian Islands,Marine Bird,Red-tailed tropicbird,,Phaethon rubricauda,,0.7
Main Hawaiian Islands,Marine Bird,Sooty tern,,"Onychoprion fuscata, Sterna fuscata",,1
Main Hawaiian Islands,Marine Bird,Wedge-tailed shearwater,,Puffinus pacificus,,1
Main Hawaiian Islands,Marine Bird,White or ferry tern,,Gygis alba,,1
Main Hawaiian Islands,Marine Bird,White-tailed tropic bird,,Phaethon lepturus ,,0.7
Main Hawaiian Islands,Marine Bird,Bristle-thighed curlew,,Numenius tahitiensis,,1
Main Hawaiian Islands,Marine Bird,Pacific golden plover,,Pluvialis fulva,,1
Main Hawaiian Islands,Marine Bird,Sanderling,,Calidris alba,,1
Main Hawaiian Islands,Marine Bird,Ruddy turnstone,,Arenaria interpres,,1
Main Hawaiian Islands,Marine Bird,Wandering tattler,,Heteroscelus incanus,,1
Main Hawaiian Islands,Marine Mammal,Blainville’s beaked whale,,Mesoplodon densirostris,NC,1
Main Hawaiian Islands,Marine Mammal,Blue whale ,,Balaenoptera musculus musculus,E,0.25
Main Hawaiian Islands,Marine Mammal,Bryde’s whale ,,Balaenoptera edeni,NC,1
Main Hawaiian Islands,Marine Mammal,Common bottlenose dolphin,,Tursiops truncatus truncatus,NC,1
Main Hawaiian Islands,Marine Mammal,Cuvier’s beaked whale,,Ziphius cavirostris,NC,1
Main Hawaiian Islands,Marine Mammal,Dwarf sperm whale,,Kogia sima,NC,1
Main Hawaiian Islands,Marine Mammal,False killer whale,,Pseudorca crassidens,E,0.25
Main Hawaiian Islands,Marine Mammal,Fin whale ,,Balaenoptera physalus physalus,E,0.25
Main Hawaiian Islands,Marine Mammal,Fraser’s dolphin ,,Lagenodelphis hosei,NC,1
Main Hawaiian Islands,Marine Mammal,Hawaiian monk seal,,Neomonachus schauinslandi,E,0.25
Main Hawaiian Islands,Marine Mammal,Hawksbill,,Ertmochelys imbricata,E,0.25
Main Hawaiian Islands,Marine Mammal,Humpback whale,,Megaptera novaeangliae,E,0.25
Main Hawaiian Islands,Marine Mammal,Killer whale ,,Orcinus orca,NC,1
Main Hawaiian Islands,Marine Mammal,Longman’s beaked whale,,Indopacetus pacificus,NC,1
Main Hawaiian Islands,Marine Mammal,Melon-headed whale ,,Peponocephala electra,NC,1
Main Hawaiian Islands,Marine Mammal,Minke whale ,,Balaenoptera acutorostrata scammoni,NC,1
Main Hawaiian Islands,Marine Mammal,North Pacific right ,,Lissodelphis borealis,NC,1
Main Hawaiian Islands,Marine Mammal,Pantropical spotted dolphin,,Stenella attenuata attenuata,NC,1
Main Hawaiian Islands,Marine Mammal,Pygmy killer whale,,Feresa attenuata,NC,1
Main Hawaiian Islands,Marine Mammal,Pygmy sperm whale,,Kogia breviceps,NC,1
Main Hawaiian Islands,Marine Mammal,Risso’s dolphin ,,Grampus griseus,NC,1
Main Hawaiian Islands,Marine Mammal,Rough-toothed dolphin ,,Steno bredanensis,NC,1
Main Hawaiian Islands,Marine Mammal,Sei whale ,,Balaenoptera borealis borealis,E,0.25
Main Hawaiian Islands,Marine Mammal,Short-finned pilot whale,,Globicephala macrorhynchus,NC,1
Main Hawaiian Islands,Marine Mammal,Sperm whale ,,Physeter macrocephalus,E,0.25
Main Hawaiian Islands,Marine Mammal,Spinner dolphin ,,Stenella longirostris longirostris),NC,1
Main Hawaiian Islands,Marine Mammal,Striped dolphin ,,Stenella coeruleoalba,NC,1
Main Hawaiian Islands,Marine Turtle,Green Turtle,,Chelonia mydas,T,0.5
Main Hawaiian Islands,Marine Turtle,Leatherback,,Dermochelys cariacea,E,0.25
Main Hawaiian Islands,Marine Turtle,Loggerhead,,Caretta caretta,E,0.25
Main Hawaiian Islands,Marine Turtle,Olive Ridley,,Lepidochelys olivacea,T,0.5
