rgn_id,year,daily_spending,perc_change,description
Hawaii County,2016,179.6,12,daily visitor spending in Hawaii County
Hawaii County,2015,160.4,-6.9,daily visitor spending in Hawaii County
Hawaii County,2014,170.5,-0.2,daily visitor spending in Hawaii County
Hawaii County,2013,170.9,7.6,daily visitor spending in Hawaii County
Hawaii County,2012,158.9,5.5,daily visitor spending in Hawaii County
