rgn_id,mean,description
South West Hawaii,0.062284729,"Mean sediment load into nearshore (1.5 km from shore), tons/yr/ha"
North West Hawaii,6.352739882,"Mean sediment load into nearshore (1.5 km from shore), tons/yr/ha"
