rgn_id,commodity,year,HI_county_operators,prop_of_state_opperators,est_harv_lbs
Hawaii Island,finfish,2007,6,0.025423729,13550.8475
Hawaii Island,finfish,2008,7.733333,0.032768362,42959.322
Hawaii Island,finfish,2009,8.133333,0.034463277,28294.3503
Hawaii Island,finfish,2010,8.533333,0.036158192,7629.3785
Hawaii Island,finfish,2011,8.933333,0.037853107,11923.7288
Hawaii Island,shellfish,2007,6,0.025423729,1652.5424
Hawaii Island,shellfish,2008,5.733333,0.024293785,777.4011
Hawaii Island,shellfish,2009,6.133333,0.025988701,1455.3672
Hawaii Island,shellfish,2010,6.533333,0.027683616,2103.9548
Hawaii Island,shellfish,2011,6.933333,0.029378531,1615.8192
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
