SurveyID,Weight_norm,geo,activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_13,activity_14,activity_7,activity_8,,fish_1,fish_2,fish_3,fish_4,fish_5,consume,source_a,source_b,source_c,source_1,source_2,source_3,source_4,source_5,condition_1,condition_2,condition_3,condition_7,condition_8,last10_1,last10_2,last10_3,last10_7,last10_8,next10,value_1,value_2,value_3,value_4,threatfam_1,threatfam_2,threatfam_3,threatfam_4,threatfam_5,threatfam_6,threatfam_7,threatfam_8,threatfam_12,threatfam_13,threatlvl,MPAfam,mngmnt_20,mngmnt_2,mngmnt_13,mngmnt_21,mngmnt_22,mngmnt_11,mngmnt_12,mngmnt_15,mngmnt_16,mngmnt_17,mngmnt_19,mngmnt_23,envbehavior,infosource_a,infosource_b,infosource_c,infosource_1,infosource_2,infosource_3,infosource_4,infosource_6,infosource_7,infosource_15,infosource_9,infosource_10,infosource_11,sourcetrust_1,sourcetrust_2,sourcetrust_3,sourcetrust_4,sourcetrust_5,sourcetrust_6,sourcetrust_13,sourcetrust_7,sourcetrust_8,sourcetrust_9,sourcetrust_10,comminvolve,commdefine,decisions,sex,age,tenure,language_1,language_2,language_3,language_24,language_25,language_8,language_9,language_10,language_11,language_13,language_14,language_15,language_16,language_17,language_20,language_21,language_23,language_22,race_11,race_14,race_7,race_10,race_9,race_12,race_19,race_25,race_31,race_15,race_18,race_28,race_3,race_1,race_23,race_20,race_22,race_26,race_29,educ,employ,employ_specify,occup,hhincome
summary,,1,145,345,487,351,155,472,384,472,436,530,,,,,,,4.094557823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,,1,211,184,89,238,257,117,128,113,132,81,,,,,,,49.13469388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,,1,84,46,31,27,124,24,51,19,42,22,66,0.101071975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,,1,208,72,43,31,112,37,88,47,41,18,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,107,241,409,281,116,411,391,428,340,447,48,0.077419355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,191,216,117,242,254,136,106,124,143,109,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,103,52,34,43,106,28,38,23,63,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,218,106,58,51,142,42,84,43,69,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,79,181,288,232,89,292,241,305,277,323,32,0.067226891,39,0.07195572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,106,148,94,168,158,133,88,108,107,94,476,,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
