SurveyID,Weight_norm,geo,activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_13,activity_14,activity_7,activity_8,,fish_1,fish_2,fish_3,fish_4,fish_5,consume,source_a,source_b,source_c,source_1,source_2,source_3,source_4,source_5,condition_1,condition_2,condition_3,condition_7,condition_8,last10_1,last10_2,last10_3,last10_7,last10_8,next10,value_1,value_2,value_3,value_4,threatfam_1,threatfam_2,threatfam_3,threatfam_4,threatfam_5,threatfam_6,threatfam_7,threatfam_8,threatfam_12,threatfam_13,threatlvl,MPAfam,mngmnt_20,mngmnt_2,mngmnt_13,mngmnt_21,mngmnt_22,mngmnt_11,mngmnt_12,mngmnt_15,mngmnt_16,mngmnt_17,mngmnt_19,mngmnt_23,envbehavior,infosource_a,infosource_b,infosource_c,infosource_1,infosource_2,infosource_3,infosource_4,infosource_6,infosource_7,infosource_15,infosource_9,infosource_10,infosource_11,sourcetrust_1,sourcetrust_2,sourcetrust_3,sourcetrust_4,sourcetrust_5,sourcetrust_6,sourcetrust_13,sourcetrust_7,sourcetrust_8,sourcetrust_9,sourcetrust_10,comminvolve,commdefine,decisions,sex,age,tenure,language_1,language_2,language_3,language_24,language_25,language_8,language_9,language_10,language_11,language_13,language_14,language_15,language_16,language_17,language_20,language_21,language_23,language_22,race_11,race_14,race_7,race_10,race_9,race_12,race_19,race_25,race_31,race_15,race_18,race_28,race_3,race_1,race_23,race_20,race_22,race_26,race_29,educ,employ,employ_specify,occup,hhincome
,,3,67,46,28,38,85,18,44,27,30,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,219,93,64,33,141,28,103,35,61,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,60,170,264,170,54,256,214,243,227,294,26,0.061176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,98,138,80,178,146,113,88,129,109,82,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,62,37,23,37,79,17,22,24,28,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,198,77,56,36,142,34,99,28,58,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,8,23,39,24,13,24,35,35,24,26,4,0.078431373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,12,14,5,19,20,11,7,7,13,13,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,3,3,3,5,7,9,2,1,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,24,11,4,3,11,7,7,8,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,7,9,12,7,4,12,11,13,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2,3,1,4,5,1,2,1,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1,0,1,2,4,0,0,0,1,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,5,3,1,2,2,2,2,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,other,22,22,9,18,14,16,5,6,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2.4,1,4,2,2,1,4,2,3,2,2,1,23,3,1,1,1,1,4,1,.,.,1,0,0,0,0,4,1,2,2,2,3,3,3,3,3,2,2,2,4,4,5,5,4,2,4,4,8,4,5,2,5,5,5,4,4,4,5,4,4,8,4,2,4,8,5,4,7,10,0,0,0,1,0,1,0,0,1,0,.,.,.,5,.,4,.,.,5,.,.,3,It is passive.,1,1,1973,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,6,3,.,Refused,11
21,2.4,1,2,1,1,2,2,1,1,1,1,1,13,.,.,.,.,.,1,1,2,.,1,1,0,0,0,3,3,3,3,3,3,3,3,3,3,1,3,3,3,5,4,5,4,4,4,4,4,4,4,2,3,5,4,4,4,4,4,4,3,4,4,4,4,4,1,1,3,4,1,0,1,1,0,0,0,0,0,0,4,.,4,4,.,.,.,.,.,.,.,1,"Our community is involved.  We are involved to be sure that the fishery, the marine life and the places that are protected are on top of what is going on.",1,1,1962,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,4,3,.,Inventory Coordinator,4
32,2.4,1,1,1,1,1,1,1,1,1,1,1,10,.,.,.,.,.,4,1,.,.,1,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,4,2,4,8,4,2,4,4,8,1,1,2,2,2,8,4,4,4,4,8,8,4,4,8,4,4,8,8,1,12,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,8,1,The people here are older.,1,1,1936,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,4,6,.,.,1
33,2.4,1,3,1,3,2,2,1,3,1,1,1,18,.,.,.,.,.,,5,.,.,0,0,0,0,1,3,2,2,3,3,1,1,1,1,1,1,5,5,1,5,3,3,4,5,5,4,5,4,5,4,2,2,5,5,5,5,5,5,5,5,5,4,5,1,2,12,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,8,4,It is full of aloha.  We have a lot of nice and caring people.  They help each other.  People will stop the car to help other people instead of asking them anything.  Those are the local people and the islanders.,1,2,1960,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,3,4,.,.,1
38,2.4,1,1,1,1,1,1,1,1,1,1,1,10,.,.,.,.,.,,1,.,.,1,0,0,0,0,8,2,8,8,8,2,2,8,2,8,1,8,8,8,4,4,2,8,2,2,2,2,4,4,1,8,2,8,4,8,4,8,8,8,8,8,4,8,8,1,3,.,.,0,0,1,0,0,0,0,0,0,0,.,.,2,.,.,.,.,.,.,.,.,5,The peopel here are very involved and concerned on how they are going to protect the ocean.,3,2,1934,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,3,6,.,.,11
53,2.4,1,2,1,1,2,2,1,1,1,1,1,13,.,.,.,.,.,1,1,.,.,1,0,0,0,0,4,2,4,4,4,4,1,2,4,4,1,5,2,5,5,5,5,5,5,5,5,5,5,5,1,2,2,4,5,4,4,5,4,4,4,4,4,4,4,1,1,3,4,1,0,1,1,0,0,0,0,0,0,4,.,4,4,.,.,.,.,.,.,.,4,"The people are very caring and are involved.  They are supportive in protecting the marine life and the coral reefs because some of the people's livelihood here is to catch fish, so it is very improtant.",1,2,1961,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,4,3,.,Manager,9
55,2.4,1,2,1,1,1,1,1,1,1,1,1,11,.,.,.,.,.,4,1,2,.,1,1,0,0,0,4,4,8,4,5,5,2,8,5,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,2,1,9,11,1,0,0,0,0,0,0,1,0,1,4,.,.,.,.,.,.,4,.,8,.,3,The people are involved in all issues and on what's going on around in our community.,1,2,1940,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,4,4,.,.,11
56,2.4,1,2,1,1,2,2,1,1,1,1,1,13,.,.,.,.,.,1,1,2,.,1,1,0,0,0,4,4,4,4,4,3,4,3,3,3,3,4,1,4,5,3,3,4,4,5,4,2,5,4,2,3,2,4,4,4,4,5,5,5,4,5,4,4,4,2,1,2,3,1,1,1,0,0,0,0,0,0,0,4,4,4,.,.,.,.,.,.,.,.,3,They are normal people who are concerned about the envionment.,1,1,1968,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,3,.,US Navy,9
71,2.4,1,3,3,1,1,1,1,1,1,1,2,15,3,3,1,1,3,1,2,4,.,0,1,0,1,0,4,4,4,4,4,5,5,5,5,5,3,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,2,5,4,2,4,5,4,4,4,5,4,2,5,1,1,2,3,1,1,1,0,0,0,0,0,0,0,4,4,4,.,.,.,.,.,.,.,.,4,I don't know.,4,1,1971,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.,.,3,1,.,.,1
81,2.4,1,2,1,1,1,2,1,1,2,1,1,13,.,.,.,.,.,,1,.,.,1,0,0,0,0,5,8,8,8,8,2,8,8,8,8,8,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,8,4,4,8,8,2,1,2,3,1,1,1,0,0,0,0,0,0,0,4,4,8,.,.,.,.,.,.,.,.,8,"More education in my community is needed, especially for the young people on how to care for the ocean because my community does not give importance on that.",1,1,1955,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,3,.,Food technologist,11
85,2.4,1,2,2,1,1,1,1,2,1,1,1,13,.,.,.,.,.,1,1,2,.,1,1,0,0,0,4,2,4,4,4,3,3,3,4,4,1,5,1,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,5,5,5,5,4,5,5,4,4,4,4,5,3,4,6,0,0,1,1,1,0,0,0,0,0,.,.,4,4,4,.,.,.,.,.,.,1,"We are not very close to the ocean, and we are kind of a condo development, like urban condo area.  I would define my community as not really participative in things like that.",2,2,1968,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,6,3,.,Professor,7
88,2.4,1,2,1,1,1,2,1,1,1,1,1,12,.,.,.,.,.,1,1,.,.,1,0,0,0,0,8,8,8,8,8,3,8,3,3,3,3,1,1,5,5,1,1,4,4,2,1,1,1,1,1,8,1,5,5,5,5,5,5,4,4,4,2,3,2,5,2,3,4,0,1,1,1,0,0,0,0,0,0,.,4,4,4,.,.,.,.,.,.,.,3,"I am on a military base, so I don't know.",1,1,1972,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,German,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,3,3,.,United States Army,7
89,2.4,1,2,2,2,2,2,2,2,2,2,2,20,1,1,1,1,1,4,2,5,.,0,1,0,0,1,4,3,3,4,4,3,2,3,3,3,2,3,2,2,4,4,4,3,2,3,3,3,4,4,4,3,2,3,4,4,3,3,4,3,3,4,2,3,2,5,1,9,10,1,0,0,0,0,0,0,1,1,0,3,.,.,.,.,.,.,3,3,.,.,2,They are the people of the city in the county of Honolulu.,1,2,1948,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,6,.,.,10
92,2.4,1,2,2,1,1,2,1,1,1,1,1,13,.,.,.,.,.,1,1,2,.,1,1,0,0,0,5,4,4,4,4,3,3,3,3,3,2,2,1,4,5,4,4,4,4,4,2,4,4,4,2,2,4,3,4,4,4,4,4,4,3,4,5,4,1,4,1,4,7,1,0,0,1,0,1,0,0,0,0,4,.,.,3,.,4,.,.,.,.,.,4,The beach is a major component of the Kailua community.  The local leaders are committed to preserving the coastline resources.  Many citizens are very active in protecting  the coastline.,2,1,1954,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,6,3,.,US Navy,10
94,2.4,1,2,1,1,2,2,1,1,1,1,1,13,.,.,.,.,.,,1,2,.,1,1,0,0,0,4,3,3,3,2,3,2,3,3,2,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,2,1,3,4,1,0,1,1,0,0,0,0,0,0,4,.,4,4,.,.,.,.,.,.,.,3,"The community is aware about things, and is caring. However, the problem would be how to organize public participation.  I mean, they don't have enough publicity.  For example, there is a cleanup activity but they don't advertise when or where they would do it.  We would just know that they did it but we didn't know that it was going to happen.  We understand that advertising cost money, but I'm just saying that we care as a community.  If you are not in the fishing or boating community, you wouldn't know anything about it, and it makes it harder for us to participate.",1,1,1949,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,6,.,.,9
95,2.4,1,4,1,1,1,4,1,1,1,1,1,16,.,.,.,.,.,,1,.,.,1,0,0,0,0,3,2,1,3,1,1,1,1,3,1,1,5,2,1,5,5,5,2,5,1,5,5,3,3,1,5,2,5,5,4,1,5,5,5,5,4,4,5,5,1,2,3,.,0,1,1,0,0,0,0,0,0,0,.,5,5,.,.,.,.,.,.,.,.,2,There are very many tourists in our area.,2,2,1952,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,3,3,.,Housewife,11
96,2.4,1,4,1,2,1,4,4,4,1,3,1,25,2,1,1,3,3,,1,2,.,1,1,0,0,0,5,4,5,5,4,3,3,3,3,3,2,5,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,3,3,1,2,4,4,3,3,3,2,2,2,4,2,3,4,0,1,1,1,0,0,0,0,0,0,.,4,4,8,.,.,.,.,.,.,.,5,It is small but very involved with things about the environment.,1,1,1958,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Mixed, won't specify",.,6,3,.,Logistician,9
97,2.4,1,4,3,1,3,4,1,3,3,3,3,28,2,1,1,1,3,,1,3,.,1,0,1,0,0,1,1,1,1,1,2,1,2,2,2,1,5,1,5,5,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,7,9,0,0,0,1,0,1,0,1,0,0,.,.,.,5,.,5,.,1,.,.,.,5,"They are very involved in marine life.  We have what we call a community group who takes care of the beaches and teaches the young children about the quality of the marine life.  It is called Hui Malama O Ke Kai, which means to take care of our ocean.",5,2,1956,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,3,.,Data analysis and planing,7
98,2.4,1,4,2,1,4,4,2,1,4,1,1,24,.,.,.,.,.,4,1,5,.,1,0,0,0,1,4,2,3,4,3,3,2,2,3,3,1,2,1,1,5,4,4,4,4,5,4,4,4,5,4,4,4,5,5,5,5,5,5,4,4,5,4,4,5,5,1,7,10,1,0,0,0,0,1,0,0,1,0,2,.,.,.,.,5,.,.,5,.,.,5,"It is an ocean community.  It is the only barrier reef in Hawaii, which they are trying to protect.",1,2,1942,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.,.,6,6,.,.,3
100,2.4,1,4,2,1,2,3,1,2,1,1,1,18,.,.,.,.,.,4,1,.,.,1,0,0,0,0,3,8,8,8,4,3,3,3,3,3,1,3,2,4,4,2,2,2,2,2,2,4,2,2,1,4,1,5,5,5,5,5,5,5,4,4,2,8,5,2,4,.,.,0,0,0,1,0,0,0,0,0,0,.,.,.,3,.,.,.,.,.,.,.,3,I don't know.,1,2,1983,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.,.,4,4,.,.,5
101,2.4,1,3,1,1,1,3,1,1,1,1,1,14,.,.,.,.,.,,1,5,.,1,0,0,0,1,4,2,8,8,4,4,2,4,3,2,3,5,1,5,5,5,4,5,5,5,5,4,5,5,2,5,5,5,5,5,4,5,4,5,4,5,4,5,1,1,6,.,.,0,0,0,0,1,0,0,0,0,0,.,.,.,.,5,.,.,.,.,.,.,4,I don't know.,2,2,1947,5,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,6,6,.,.,5
102,2.4,1,7,1,1,1,1,2,1,1,1,1,17,.,.,.,.,.,,3,4,.,0,0,1,1,0,5,8,5,5,5,2,8,2,8,2,8,4,5,8,4,2,8,2,4,2,8,4,8,8,2,8,2,8,8,8,2,8,8,4,8,8,8,8,8,2,12,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,8,1,I don't know.,1,2,1935,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,1,6,.,.,11
104,2.4,1,2,1,1,1,1,1,1,2,1,1,12,.,.,.,.,.,1,1,.,.,1,0,0,0,0,3,3,3,3,3,3,3,3,3,3,1,2,2,2,5,2,2,2,4,4,4,4,2,2,2,4,2,4,4,4,4,5,5,5,4,4,4,8,4,2,3,.,.,0,0,1,0,0,0,0,0,0,0,.,.,8,.,.,.,.,.,.,.,.,1,Everybody here cares about nobody but themselves.,1,2,1957,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,4,7,Self-employed,.,9
107,2.4,1,2,1,1,1,1,1,1,1,1,1,11,.,.,.,.,.,,1,2,.,1,1,0,0,0,5,3,4,4,4,3,3,3,3,3,2,3,3,3,5,2,2,4,3,2,2,1,1,1,2,2,4,3,2,2,2,4,3,4,3,3,4,3,3,1,1,.,.,1,0,0,0,0,0,0,0,0,0,5,.,.,.,.,.,.,.,.,.,.,2,It is good.  The community cooperates in cleaning and caring for our area.,1,2,1945,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,3,6,.,.,9
108,2.4,1,2,1,1,2,1,1,1,1,1,1,12,.,.,.,.,.,,1,2,.,1,1,0,0,0,5,2,8,2,2,1,1,1,1,1,1,8,2,2,8,5,4,5,5,5,5,5,5,5,5,5,8,4,4,4,4,4,4,4,4,4,4,4,4,5,1,3,7,1,0,1,0,0,1,0,0,0,0,3,.,3,.,.,3,.,.,.,.,.,2,It is very diverse.,1,2,.,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.,.,8,8,.,.,11
110,2.4,1,4,4,3,3,4,2,4,2,3,1,30,3,1,1,3,1,,1,2,.,1,1,0,0,0,3,2,2,2,1,3,2,2,2,2,1,5,1,4,5,5,4,4,5,4,4,5,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,2,4,1,3,4,1,0,1,1,0,0,0,0,0,0,4,.,4,4,.,.,.,.,.,.,.,4,"My community is concerned about the environment, the coral reefs, and the overall marine habitat.  They take steps to preserve the national habitat and to prevent anything that would inflict harm on it.",1,1,1984,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,3,.,Environmental Engineer,7
