rgn_id,County,year,Watershed Priority areas (ac),Watershed Priority areas fenced (acres),km2,fenced_km2,percent
1,Hawaii,2017,"577,386","69,564",2336.600308,281.515769,0.120480926
2,Maui,2017,"138,958","50,302",562.3435719,203.5651517,0.361994272
3,Oahu,2017,"46,095","3,497",186.5400117,14.15186942,0.075865061
4,Kauai,2017,"80,490","5,859",325.7317614,23.71055274,0.072791651
