rgn_id,year,species,llic,number,lbs,family,mus,fishery
2,2012,Ehu,26,596,"1,261",Lutjanidae,BMUS,bottom
2,2013,Ehu,20,507,"1,076",Lutjanidae,BMUS,bottom
2,2014,Ehu,26,361,721,Lutjanidae,BMUS,bottom
2,2015,Ehu,21,460,"1,034",Lutjanidae,BMUS,bottom
2,2016,Ehu,21,380,"1,042",Lutjanidae,BMUS,bottom
2,2017,Ehu,18,399,"1,050",Lutjanidae,BMUS,bottom
1,2012,Ehu,37,489,"1,050",Lutjanidae,BMUS,bottom
1,2013,Ehu,44,"1,791","3,924",Lutjanidae,BMUS,bottom
1,2014,Ehu,39,"1,119","2,464",Lutjanidae,BMUS,bottom
1,2015,Ehu,18,931,"2,383",Lutjanidae,BMUS,bottom
1,2016,Ehu,24,217,492,Lutjanidae,BMUS,bottom
1,2017,Ehu,16,296,683,Lutjanidae,BMUS,bottom
2,2012,Gindai,15,86,212,Lutjanidae,BMUS,bottom
2,2013,Gindai,11,55,107,Lutjanidae,BMUS,bottom
2,2014,Gindai,13,35,69,Lutjanidae,BMUS,bottom
2,2015,Gindai,12,78,187,Lutjanidae,BMUS,bottom
2,2016,Gindai,16,70,195,Lutjanidae,BMUS,bottom
2,2017,Gindai,13,54,136,Lutjanidae,BMUS,bottom
1,2012,Gindai,32,262,529,Lutjanidae,BMUS,bottom
1,2013,Gindai,39,619,"1,266",Lutjanidae,BMUS,bottom
1,2014,Gindai,24,388,767,Lutjanidae,BMUS,bottom
1,2015,Gindai,20,196,458,Lutjanidae,BMUS,bottom
1,2016,Gindai,21,114,245,Lutjanidae,BMUS,bottom
1,2017,Gindai,14,60,125,Lutjanidae,BMUS,bottom
2,2014,Hapuupuu,10,30,355,Serranidae,BMUS,bottom
2,2015,Hapuupuu,11,40,558,Serranidae,BMUS,bottom
2,2016,Hapuupuu,17,52,810,Serranidae,BMUS,bottom
2,2017,Hapuupuu,16,46,783,Serranidae,BMUS,bottom
1,2012,Hapuupuu,20,40,478,Serranidae,BMUS,bottom
1,2013,Hapuupuu,29,115,"1,655",Serranidae,BMUS,bottom
1,2014,Hapuupuu,23,59,804,Serranidae,BMUS,bottom
1,2015,Hapuupuu,9,40,511,Serranidae,BMUS,bottom
1,2016,Hapuupuu,15,29,389,Serranidae,BMUS,bottom
1,2017,Hapuupuu,8,18,188,Serranidae,BMUS,bottom
2,2012,Kalekale,19,578,"1,111",Lutjanidae,BMUS,bottom
2,2013,Kalekale,18,661,"1,173",Lutjanidae,BMUS,bottom
2,2014,Kalekale,27,"1,207","2,380",Lutjanidae,BMUS,bottom
2,2015,Kalekale,22,472,957,Lutjanidae,BMUS,bottom
2,2016,Kalekale,25,660,"1,288",Lutjanidae,BMUS,bottom
2,2017,Kalekale,21,917,"1,837",Lutjanidae,BMUS,bottom
1,2012,Kalekale,33,597,"1,039",Lutjanidae,BMUS,bottom
1,2013,Kalekale,46,"2,176","3,843",Lutjanidae,BMUS,bottom
1,2014,Kalekale,38,"1,794","3,139",Lutjanidae,BMUS,bottom
1,2015,Kalekale,31,"1,244","2,099",Lutjanidae,BMUS,bottom
1,2016,Kalekale,23,815,"1,446",Lutjanidae,BMUS,bottom
1,2017,Kalekale,21,"1,041","1,900",Lutjanidae,BMUS,bottom
2,2012,Lehi,26,181,"1,295",Lutjanidae,BMUS,bottom
2,2013,Lehi,16,463,"2,681",Lutjanidae,BMUS,bottom
2,2014,Lehi,22,212,"1,320",Lutjanidae,BMUS,bottom
2,2015,Lehi,29,399,"2,181",Lutjanidae,BMUS,bottom
2,2016,Lehi,31,435,"2,896",Lutjanidae,BMUS,bottom
