year,rgn_id,percent,habitat
2011,1,13.12,marine
2012,1,13.12,marine
2013,1,13.12,marine
2014,1,13.12,marine
2015,1,13.12,marine
2011,1,12,watershed
2012,1,12,watershed
2013,1,12,watershed
2014,1,12,watershed
2015,1,12,watershed
2011,2,13.12,marine
2012,2,13.12,marine
2013,2,13.12,marine
2014,2,13.12,marine
2015,2,13.12,marine
2011,2,12,watershed
2012,2,12,watershed
2013,2,12,watershed
2014,2,12,watershed
2015,2,12,watershed
