rgn_id,year,species,llic,number,lbs,family,mus,X9
1,2013,Alfonsin,3,12,44,Berycidae,BMUS,NA
2,2012,Hapuupuu,8,31,414,Serranidae,BMUS,NA
2,2013,Hapuupuu,8,22,275,Serranidae,BMUS,NA
2,2012,Ehu,26,596,1261,Lutjanidae,BMUS,bottom
2,2013,Ehu,20,507,1076,Lutjanidae,BMUS,bottom
2,2014,Ehu,26,361,721,Lutjanidae,BMUS,bottom
2,2015,Ehu,21,460,1034,Lutjanidae,BMUS,bottom
2,2016,Ehu,21,380,1042,Lutjanidae,BMUS,bottom
2,2017,Ehu,18,399,1050,Lutjanidae,BMUS,bottom
1,2012,Ehu,37,489,1050,Lutjanidae,BMUS,bottom
1,2013,Ehu,44,1791,3924,Lutjanidae,BMUS,bottom
1,2014,Ehu,39,1119,2464,Lutjanidae,BMUS,bottom
1,2015,Ehu,18,931,2383,Lutjanidae,BMUS,bottom
1,2016,Ehu,24,217,492,Lutjanidae,BMUS,bottom
1,2017,Ehu,16,296,683,Lutjanidae,BMUS,bottom
2,2012,Gindai,15,86,212,Lutjanidae,BMUS,bottom
2,2013,Gindai,11,55,107,Lutjanidae,BMUS,bottom
2,2014,Gindai,13,35,69,Lutjanidae,BMUS,bottom
2,2015,Gindai,12,78,187,Lutjanidae,BMUS,bottom
2,2016,Gindai,16,70,195,Lutjanidae,BMUS,bottom
2,2017,Gindai,13,54,136,Lutjanidae,BMUS,bottom
1,2012,Gindai,32,262,529,Lutjanidae,BMUS,bottom
1,2013,Gindai,39,619,1266,Lutjanidae,BMUS,bottom
1,2014,Gindai,24,388,767,Lutjanidae,BMUS,bottom
1,2015,Gindai,20,196,458,Lutjanidae,BMUS,bottom
1,2016,Gindai,21,114,245,Lutjanidae,BMUS,bottom
1,2017,Gindai,14,60,125,Lutjanidae,BMUS,bottom
2,2012,Kalekale,19,578,1111,Lutjanidae,BMUS,bottom
2,2013,Kalekale,18,661,1173,Lutjanidae,BMUS,bottom
2,2014,Kalekale,27,1207,2380,Lutjanidae,BMUS,bottom
2,2015,Kalekale,22,472,957,Lutjanidae,BMUS,bottom
2,2016,Kalekale,25,660,1288,Lutjanidae,BMUS,bottom
2,2017,Kalekale,21,917,1837,Lutjanidae,BMUS,bottom
1,2012,Kalekale,33,597,1039,Lutjanidae,BMUS,bottom
1,2013,Kalekale,46,2176,3843,Lutjanidae,BMUS,bottom
1,2014,Kalekale,38,1794,3139,Lutjanidae,BMUS,bottom
1,2015,Kalekale,31,1244,2099,Lutjanidae,BMUS,bottom
1,2016,Kalekale,23,815,1446,Lutjanidae,BMUS,bottom
1,2017,Kalekale,21,1041,1900,Lutjanidae,BMUS,bottom
2,2012,Lehi,26,181,1295,Lutjanidae,BMUS,bottom
2,2013,Lehi,16,463,2681,Lutjanidae,BMUS,bottom
2,2014,Lehi,22,212,1320,Lutjanidae,BMUS,bottom
2,2015,Lehi,29,399,2181,Lutjanidae,BMUS,bottom
2,2016,Lehi,31,435,2896,Lutjanidae,BMUS,bottom
2,2017,Lehi,25,365,2554,Lutjanidae,BMUS,bottom
1,2012,Lehi,39,313,2373,Lutjanidae,BMUS,bottom
1,2013,Lehi,36,748,4793,Lutjanidae,BMUS,bottom
1,2014,Lehi,41,396,2436,Lutjanidae,BMUS,bottom
1,2015,Lehi,33,360,2065,Lutjanidae,BMUS,bottom
1,2016,Lehi,29,382,2028,Lutjanidae,BMUS,bottom
1,2017,Lehi,21,401,2149,Lutjanidae,BMUS,bottom
2,2012,Onaga,27,692,3185,Lutjanidae,BMUS,bottom
2,2013,Onaga,23,534,2656,Lutjanidae,BMUS,bottom
2,2014,Onaga,26,952,4978,Lutjanidae,BMUS,bottom
2,2015,Onaga,24,663,2834,Lutjanidae,BMUS,bottom
2,2016,Onaga,27,705,5029,Lutjanidae,BMUS,bottom
2,2017,Onaga,18,900,7726,Lutjanidae,BMUS,bottom
1,2012,Onaga,16,211,1353,Lutjanidae,BMUS,bottom
