rgn_id,year,species,llic,number,lbs,family,mus,X9
1,2013,Onaga,28,650,4498,Lutjanidae,BMUS,bottom
1,2014,Onaga,28,344,2435,Lutjanidae,BMUS,bottom
1,2015,Onaga,18,286,1696,Lutjanidae,BMUS,bottom
1,2016,Onaga,18,473,3420,Lutjanidae,BMUS,bottom
1,2017,Onaga,9,515,2921,Lutjanidae,BMUS,bottom
2,2012,Opakapaka,35,2386,8950,Lutjanidae,BMUS,bottom
2,2013,Opakapaka,34,2504,8948,Lutjanidae,BMUS,bottom
2,2014,Opakapaka,41,4564,17140,Lutjanidae,BMUS,bottom
2,2015,Opakapaka,39,4938,14592,Lutjanidae,BMUS,bottom
2,2016,Opakapaka,43,5227,18618,Lutjanidae,BMUS,bottom
2,2017,Opakapaka,40,4592,17931,Lutjanidae,BMUS,bottom
1,2012,Opakapaka,52,1581,5684,Lutjanidae,BMUS,bottom
1,2013,Opakapaka,55,3486,13350,Lutjanidae,BMUS,bottom
1,2014,Opakapaka,64,3297,11394,Lutjanidae,BMUS,bottom
1,2015,Opakapaka,48,2644,8254,Lutjanidae,BMUS,bottom
1,2016,Opakapaka,44,3088,9770,Lutjanidae,BMUS,bottom
1,2017,Opakapaka,38,2912,10263,Lutjanidae,BMUS,bottom
2,2012,Taape,11,149,118,Lutjanidae,BMUS,bottom
2,2013,Taape,7,122,86,Lutjanidae,BMUS,bottom
2,2014,Taape,7,189,181,Lutjanidae,BMUS,bottom
2,2015,Taape,9,137,100,Lutjanidae,BMUS,bottom
2,2016,Taape,8,195,146,Lutjanidae,BMUS,bottom
2,2017,Taape,7,307,169,Lutjanidae,BMUS,bottom
1,2012,Taape,26,1316,973,Lutjanidae,BMUS,bottom
1,2013,Taape,31,729,758,Lutjanidae,BMUS,bottom
1,2014,Taape,23,712,594,Lutjanidae,BMUS,bottom
1,2015,Taape,19,630,445,Lutjanidae,BMUS,bottom
1,2016,Taape,20,384,304,Lutjanidae,BMUS,bottom
1,2017,Taape,22,779,476,Lutjanidae,BMUS,bottom
2,2012,Uku,33,548,4622,Lutjanidae,BMUS,bottom
2,2013,Uku,42,589,4603,Lutjanidae,BMUS,bottom
2,2014,Uku,41,834,6301,Lutjanidae,BMUS,bottom
2,2015,Uku,53,1442,11428,Lutjanidae,BMUS,bottom
2,2016,Uku,49,1779,13334,Lutjanidae,BMUS,bottom
2,2017,Uku,39,1934,13710,Lutjanidae,BMUS,bottom
1,2012,Uku,57,346,2482,Lutjanidae,BMUS,bottom
1,2013,Uku,48,629,5150,Lutjanidae,BMUS,bottom
1,2014,Uku,49,707,4652,Lutjanidae,BMUS,bottom
1,2015,Uku,58,571,3861,Lutjanidae,BMUS,bottom
1,2016,Uku,55,411,2969,Lutjanidae,BMUS,bottom
1,2017,Uku,38,302,1879,Lutjanidae,BMUS,bottom
2,2014,Hapuupuu,10,30,355,Serranidae,BMUS,bottom
2,2015,Hapuupuu,11,40,558,Serranidae,BMUS,bottom
2,2016,Hapuupuu,17,52,810,Serranidae,BMUS,bottom
2,2017,Hapuupuu,16,46,783,Serranidae,BMUS,bottom
1,2012,Hapuupuu,20,40,478,Serranidae,BMUS,bottom
1,2013,Hapuupuu,29,115,1655,Serranidae,BMUS,bottom
1,2014,Hapuupuu,23,59,804,Serranidae,BMUS,bottom
1,2015,Hapuupuu,9,40,511,Serranidae,BMUS,bottom
1,2016,Hapuupuu,15,29,389,Serranidae,BMUS,bottom
1,2017,Hapuupuu,8,18,188,Serranidae,BMUS,bottom
