rgn_id,year,species,llic,number,lbs,family,mus,X9
1,2013,Blue marlin,169,727,101102,Istiophoridae,PMUS,pelagic
1,2014,Blue marlin,163,461,119235,Istiophoridae,PMUS,pelagic
1,2015,Blue marlin,193,627,113618,Istiophoridae,PMUS,pelagic
1,2016,Blue marlin,148,440,82586,Istiophoridae,PMUS,pelagic
1,2017,Blue marlin,150,546,104634,Istiophoridae,PMUS,pelagic
2,2012,S.N. spearfish,21,59,2044,Istiophoridae,PMUS,pelagic
2,2013,S.N. spearfish,25,48,1632,Istiophoridae,PMUS,pelagic
2,2014,S.N. spearfish,16,25,684,Istiophoridae,PMUS,pelagic
2,2015,S.N. spearfish,15,47,1357,Istiophoridae,PMUS,pelagic
2,2016,S.N. spearfish,26,66,1929,Istiophoridae,PMUS,pelagic
2,2017,S.N. spearfish,13,54,1667,Istiophoridae,PMUS,pelagic
2,2014,Sailfish,3,2,106,Istiophoridae,PMUS,pelagic
2,2015,Sailfish,6,7,432,Istiophoridae,PMUS,pelagic
2,2016,Sailfish,6,6,421,Istiophoridae,PMUS,pelagic
2,2017,Sailfish,6,15,940,Istiophoridae,PMUS,pelagic
1,2012,Sailfish,7,8,548,Istiophoridae,PMUS,pelagic
1,2013,Sailfish,7,6,320,Istiophoridae,PMUS,pelagic
1,2014,Sailfish,8,6,367,Istiophoridae,PMUS,pelagic
1,2015,Sailfish,12,25,1675,Istiophoridae,PMUS,pelagic
1,2016,Sailfish,10,7,494,Istiophoridae,PMUS,pelagic
1,2017,Sailfish,9,11,759,Istiophoridae,PMUS,pelagic
1,2012,Shortnosed spearfish,100,358,11829,Istiophoridae,PMUS,pelagic
1,2013,Shortnosed spearfish,88,374,11640,Istiophoridae,PMUS,pelagic
1,2014,Shortnosed spearfish,83,300,9456,Istiophoridae,PMUS,pelagic
1,2015,Shortnosed spearfish,86,424,12660,Istiophoridae,PMUS,pelagic
1,2016,Shortnosed spearfish,100,622,19098,Istiophoridae,PMUS,pelagic
1,2017,Shortnosed spearfish,78,390,11687,Istiophoridae,PMUS,pelagic
2,2012,Striped marlin,16,27,1254,Istiophoridae,PMUS,pelagic
