rgn_id,year,jobs_all
1,2015,89050
1,2016,91400
1,1990,58400
1,1991,63600
1,1992,65200
1,1993,65450
1,1994,65600
1,1995,65250
1,1996,67400
1,1997,69400
1,1998,69350
1,1999,70500
1,2000,73900
1,2001,75750
1,2002,75450
1,2003,76750
1,2004,78350
1,2005,80750
1,2006,83850
1,2007,84800
1,2008,84900
1,2009,83900
1,2010,87750
1,2011,88650
1,2012,86200
1,2013,86100
1,2014,87350
2,2015,89050
2,2016,91400
2,1990,58400
2,1991,63600
2,1992,65200
2,1993,65450
2,1994,65600
2,1995,65250
2,1996,67400
2,1997,69400
2,1998,69350
2,1999,70500
2,2000,73900
2,2001,75750
2,2002,75450
2,2003,76750
2,2004,78350
2,2005,80750
2,2006,83850
2,2007,84800
2,2008,84900
2,2009,83900
2,2010,87750
2,2011,88650
2,2012,86200
2,2013,86100
2,2014,87350
