rgn_id,habitat,km2,notes,X5
1,reef,33.2,commulative impact mapping hardbottom habitat,
1,beach,17.72,units km not km2,
1,wetland,0.061,NOAA C-cap,
1,fishpond,,fishpond updated layer by tnc 2017,
2,reef,36.9,commulative impact mapping hardbottom habitat,
2,beach,38.65,units km not km2,
2,wetland,0.055,commulative impact mapping hardbottom habitat,
2,fishpond,,fishpond updated layer by tnc 2017,
