rgn_id,stock_key,year,score,ref,Family
1,Aawa_CHCR,2012,,,Labridae
1,Aawa_CHCR,2013,,,Labridae
1,Aawa_CHCR,2014,,,Labridae
1,Aawa_CHCR,2015,,,Labridae
1,Aawa_CHCR,2016,,,Labridae
1,Ahaaha_CHCR,2012,,,Belonidea
1,Ahaaha_CHCR,2013,,,Belonidea
1,Ahaaha_CHCR,2014,,,Belonidea
1,Ahaaha_CHCR,2015,,,Belonidea
1,Ahaaha_CHCR,2016,,,Belonidea
1,Aholehole_CHCR,2012,,,Kuhliidae
1,Aholehole_CHCR,2013,,,Kuhliidae
1,Aholehole_CHCR,2014,,,Kuhliidae
1,Aholehole_CHCR,2015,,,Kuhliidae
1,Aholehole_CHCR,2016,,,Kuhliidae
1,Aku_PMUS,2012,,,Scombridae
1,Aku_PMUS,2013,,,Scombridae
1,Aku_PMUS,2014,,,Scombridae
1,Aku_PMUS,2015,,,Scombridae
1,Aku_PMUS,2016,,,Scombridae
1,Akule_CHCR,2012,,,Carangidae
1,Akule_CHCR,2013,,,Carangidae
1,Akule_CHCR,2014,,,Carangidae
1,Akule_CHCR,2015,,,Carangidae
1,Akule_CHCR,2016,,,Carangidae
1,Alaihe mama_CHCR,2012,,,Holocentridae
1,Alaihe mama_CHCR,2013,,,Holocentridae
1,Alaihe mama_CHCR,2014,,,Holocentridae
1,Alaihe mama_CHCR,2015,,,Holocentridae
1,Alaihe mama_CHCR,2016,,,Holocentridae
1,Alaihe_PMUS,2012,,,Holocentridae
1,Alaihe_PMUS,2013,,,Holocentridae
1,Alaihe_PMUS,2014,,,Holocentridae
1,Alaihe_PMUS,2015,,,Holocentridae
1,Alaihe_PMUS,2016,,,Holocentridae
1,Alfonsin_BMUS,2012,,,Berycidae
1,Alfonsin_BMUS,2013,,,Berycidae
1,Alfonsin_BMUS,2014,,,Berycidae
1,Alfonsin_BMUS,2015,,,Berycidae
1,Alfonsin_BMUS,2016,,,Berycidae
1,Amaama_CHCR,2012,,,Mugilidae
1,Amaama_CHCR,2013,,,Mugilidae
1,Amaama_CHCR,2014,,,Mugilidae
1,Amaama_CHCR,2015,,,Mugilidae
1,Amaama_CHCR,2016,,,Mugilidae
1,Api_CHCR,2012,,,Acanthuridae
1,Api_CHCR,2013,,,Acanthuridae
1,Api_CHCR,2014,,,Acanthuridae
1,Api_CHCR,2015,,,Acanthuridae
1,Api_CHCR,2016,,,Acanthuridae
1,Awa_CHCR,2012,,,Chanidae
1,Awa_CHCR,2013,,,Chanidae
1,Awa_CHCR,2014,,,Chanidae
1,Awa_CHCR,2015,,,Chanidae
1,Awa_CHCR,2016,,,Chanidae
1,Awaawa_CHCR,2012,,,Elopidae
1,Awaawa_CHCR,2013,,,Elopidae
1,Awaawa_CHCR,2014,,,Elopidae
1,Awaawa_CHCR,2015,,,Elopidae
1,Awaawa_CHCR,2016,,,Elopidae
1,Aweoweo (deepsea)_CHCR,2012,,,Priacanthidae
1,Aweoweo (deepsea)_CHCR,2013,,,Priacanthidae
1,Aweoweo (deepsea)_CHCR,2014,,,Priacanthidae
1,Aweoweo (deepsea)_CHCR,2015,,,Priacanthidae
1,Aweoweo (deepsea)_CHCR,2016,,,Priacanthidae
1,Aweoweo_CHCR,2012,,,Priacanthidae
1,Aweoweo_CHCR,2013,,,Priacanthidae
1,Aweoweo_CHCR,2014,,,Priacanthidae
1,Aweoweo_CHCR,2015,,,Priacanthidae
1,Aweoweo_CHCR,2016,,,Priacanthidae
1,Barred jack_CHCR,2012,,,Carangidae
1,Barred jack_CHCR,2013,,,Carangidae
1,Barred jack_CHCR,2014,,,Carangidae
1,Barred jack_CHCR,2015,,,Carangidae
1,Barred jack_CHCR,2016,,,Carangidae
1,Bigeye tuna_PMUS,2012,0.79,SPC,Scombridae
1,Bigeye tuna_PMUS,2013,0.87,regression gap fill,Scombridae
1,Bigeye tuna_PMUS,2014,0.85,regression gap fill,Scombridae
1,Bigeye tuna_PMUS,2015,0.82,regression gap fill,Scombridae
1,Bigeye tuna_PMUS,2016,0.7508,regression gap fill,Scombridae
1,Blue marlin_PMUS,2012,1.18,ICS; http://isc.fra.go.jp/pdf/ISC16/ISC16_Annex_10_Stock%20Assessment%20Update%20for%20Blue%20Marlin%20in%20the%20Pacific%20Ocean%20through%202014%20(ISC%202016).pdf,Istiophoridae
