rgn_id,year,species,category,type,Family,stock,score,ref
1,2012,Pualu,Reef,Reef,Acanthuridae,Acanthurus blochii,0.4,
1,2013,Pualu,Reef,Reef,Acanthuridae,Acanthurus blochii,0.4,
1,2014,Pualu,Reef,Reef,Acanthuridae,Acanthurus blochii,0.4,
1,2015,Pualu,Reef,Reef,Acanthuridae,Acanthurus blochii,0.4,
1,2016,Pualu,Reef,Reef,Acanthuridae,Acanthurus blochii,0.4,
1,2012,Palani,Reef,Reef,Acanthuridae,Acanthurus dussmieri,1.2,
1,2013,Palani,Reef,Reef,Acanthuridae,Acanthurus dussmieri,1.2,
1,2014,Palani,Reef,Reef,Acanthuridae,Acanthurus dussmieri,1.2,
1,2015,Palani,Reef,Reef,Acanthuridae,Acanthurus dussmieri,1.2,
1,2016,Palani,Reef,Reef,Acanthuridae,Acanthurus dussmieri,1.2,
1,2012,Uku,reef,Reef,Lutjanidae,Aprion virescens,1.1,
1,2013,Uku,reef,Reef,Lutjanidae,Aprion virescens,1.1,
1,2014,Uku,reef,Reef,Lutjanidae,Aprion virescens,1.1,
1,2015,Uku,reef,Reef,Lutjanidae,Aprion virescens,1.1,
1,2016,Uku,reef,Reef,Lutjanidae,Aprion virescens,1.1,
1,2012,Panuhunuhu,Reef,Reef,Scaridae,Calotomus carolinus,0.43,
1,2013,Panuhunuhu,Reef,Reef,Scaridae,Calotomus carolinus,0.43,
1,2014,Panuhunuhu,Reef,Reef,Scaridae,Calotomus carolinus,0.43,
1,2015,Panuhunuhu,Reef,Reef,Scaridae,Calotomus carolinus,0.43,
1,2016,Panuhunuhu,Reef,Reef,Scaridae,Calotomus carolinus,0.43,
1,2012,Papa ulua,coastal_pelagic,Reef,Scombridae,Carangoides orthogrammus,1.37,
1,2013,Papa ulua,coastal_pelagic,Reef,Scombridae,Carangoides orthogrammus,1.37,
1,2014,Papa ulua,coastal_pelagic,Reef,Scombridae,Carangoides orthogrammus,1.37,
1,2015,Papa ulua,coastal_pelagic,Reef,Scombridae,Carangoides orthogrammus,1.37,
1,2016,Papa ulua,coastal_pelagic,Reef,Scombridae,Carangoides orthogrammus,1.37,
1,2012,White ulua,coastal_pelagic,Reef,Scombridae,Caranx ignobilis,0.93,
1,2013,White ulua,coastal_pelagic,Reef,Scombridae,Caranx ignobilis,0.93,
1,2014,White ulua,coastal_pelagic,Reef,Scombridae,Caranx ignobilis,0.93,
1,2015,White ulua,coastal_pelagic,Reef,Scombridae,Caranx ignobilis,0.93,
1,2016,White ulua,coastal_pelagic,Reef,Scombridae,Caranx ignobilis,0.93,
1,2012,Omilu,coastal_pelagic,Reef,Scombridae,Caranx melampygus,1.33,
1,2013,Omilu,coastal_pelagic,Reef,Scombridae,Caranx melampygus,1.33,
1,2014,Omilu,coastal_pelagic,Reef,Scombridae,Caranx melampygus,1.33,
