year,rgn_id,value,commodity,est_value,,
2002,1,6,finfish,5.333333333,,
2007,1,6,finfish,7.333333333,,
2012,1,10,finfish,9.333333333,,
2008,1,7.733333333,finfish,7.733333333,,
2009,1,8.133333333,finfish,8.133333333,,
2010,1,8.533333333,finfish,8.533333333,,
2011,1,8.933333333,finfish,8.933333333,,mullusks
2002,1,3,shellfish,3.333333333,2,1
2007,1,6,shellfish,5.333333333,2,4
2012,1,7,shellfish,7.333333333,4,3
2008,1,5.733333333,shellfish,5.733333333,,
2009,1,6.133333333,shellfish,6.133333333,,
2010,1,6.533333333,shellfish,6.533333333,,
2011,1,6.933333333,shellfish,6.933333333,,
2002,2,6,finfish,5.333333333,,
2007,2,6,finfish,7.333333333,,
2012,2,10,finfish,9.333333333,,
2008,2,7.733333333,finfish,7.733333333,,
2009,2,8.133333333,finfish,8.133333333,,
2010,2,8.533333333,finfish,8.533333333,,
2011,2,8.933333333,finfish,8.933333333,,
2002,2,3,shellfish,3.333333333,,
2007,2,6,shellfish,5.333333333,,
2012,2,7,shellfish,7.333333333,,
2008,2,5.733333333,shellfish,5.733333333,,
2009,2,6.133333333,shellfish,6.133333333,,
2010,2,6.533333333,shellfish,6.533333333,,
2011,2,6.933333333,shellfish,6.933333333,,
