rgn_id,year,sector,jobs
1,2005,Marine Construction,
1,2005,Living Resources,88
1,2005,Offshore Mineral Extraction,
1,2005,Ship and Boat Building,
1,2005,Tourism and Recreation,12568
1,2005,Marine Transportation,
1,2005,All Ocean Sectors,12656
1,2006,Marine Construction,
1,2006,Living Resources,
1,2006,Offshore Mineral Extraction,
1,2006,Ship and Boat Building,
1,2006,Tourism and Recreation,12364
1,2006,Marine Transportation,
1,2006,All Ocean Sectors,12364
1,2007,Marine Construction,11
1,2007,Living Resources,85
1,2007,Offshore Mineral Extraction,
1,2007,Ship and Boat Building,
1,2007,Tourism and Recreation,12349
1,2007,Marine Transportation,
1,2007,All Ocean Sectors,12445
1,2008,Marine Construction,38
1,2008,Living Resources,89
1,2008,Offshore Mineral Extraction,
1,2008,Ship and Boat Building,
1,2008,Tourism and Recreation,11894
1,2008,Marine Transportation,
1,2008,All Ocean Sectors,12021
1,2009,Marine Construction,
1,2009,Living Resources,85
1,2009,Offshore Mineral Extraction,
1,2009,Ship and Boat Building,
1,2009,Tourism and Recreation,10844
1,2009,Marine Transportation,
1,2009,All Ocean Sectors,10929
1,2010,Marine Construction,
1,2010,Living Resources,71
1,2010,Offshore Mineral Extraction,
1,2010,Ship and Boat Building,
1,2010,Tourism and Recreation,10725
1,2010,Marine Transportation,
1,2010,All Ocean Sectors,10796
1,2011,Marine Construction,
1,2011,Living Resources,73
1,2011,Offshore Mineral Extraction,
1,2011,Ship and Boat Building,
1,2011,Tourism and Recreation,10817
1,2011,Marine Transportation,
1,2011,All Ocean Sectors,10890
1,2012,Marine Construction,
1,2012,Living Resources,77
1,2012,Offshore Mineral Extraction,
1,2012,Ship and Boat Building,
1,2012,Tourism and Recreation,11125
1,2012,Marine Transportation,
1,2012,All Ocean Sectors,11202
1,2013,Marine Construction,
1,2013,Living Resources,76
1,2013,Offshore Mineral Extraction,
1,2013,Ship and Boat Building,
1,2013,Tourism and Recreation,11340
1,2013,Marine Transportation,
1,2013,All Ocean Sectors,11416
2,2005,Marine Construction,
2,2005,Living Resources,88
2,2005,Offshore Mineral Extraction,
2,2005,Ship and Boat Building,
2,2005,Tourism and Recreation,12568
2,2005,Marine Transportation,
2,2005,All Ocean Sectors,12656
2,2006,Marine Construction,
2,2006,Living Resources,
2,2006,Offshore Mineral Extraction,
2,2006,Ship and Boat Building,
2,2006,Tourism and Recreation,12364
2,2006,Marine Transportation,
2,2006,All Ocean Sectors,12364
2,2007,Marine Construction,11
2,2007,Living Resources,85
2,2007,Offshore Mineral Extraction,
2,2007,Ship and Boat Building,
2,2007,Tourism and Recreation,12349
2,2007,Marine Transportation,
2,2007,All Ocean Sectors,12445
2,2008,Marine Construction,38
2,2008,Living Resources,89
2,2008,Offshore Mineral Extraction,
2,2008,Ship and Boat Building,
2,2008,Tourism and Recreation,11894
2,2008,Marine Transportation,
2,2008,All Ocean Sectors,12021
2,2009,Marine Construction,
2,2009,Living Resources,85
2,2009,Offshore Mineral Extraction,
2,2009,Ship and Boat Building,
2,2009,Tourism and Recreation,10844
2,2009,Marine Transportation,
2,2009,All Ocean Sectors,10929
2,2010,Marine Construction,
2,2010,Living Resources,71
2,2010,Offshore Mineral Extraction,
2,2010,Ship and Boat Building,
2,2010,Tourism and Recreation,10725
2,2010,Marine Transportation,
2,2010,All Ocean Sectors,10796
2,2011,Marine Construction,
2,2011,Living Resources,73
2,2011,Offshore Mineral Extraction,
2,2011,Ship and Boat Building,
2,2011,Tourism and Recreation,10817
2,2011,Marine Transportation,
2,2011,All Ocean Sectors,10890
2,2012,Marine Construction,
2,2012,Living Resources,77
2,2012,Offshore Mineral Extraction,
2,2012,Ship and Boat Building,
2,2012,Tourism and Recreation,11125
2,2012,Marine Transportation,
2,2012,All Ocean Sectors,11202
2,2013,Marine Construction,
2,2013,Living Resources,76
2,2013,Offshore Mineral Extraction,
2,2013,Ship and Boat Building,
2,2013,Tourism and Recreation,11340
2,2013,Marine Transportation,
2,2013,All Ocean Sectors,11416
