county_gdp,year,value,rgn_id
1345.7,2010,1,1
1498.2,2011,2,1
1660.8,2012,3,1
1825.2,2013,4,1
1896.2,2014,5,1
1839,2015,6,1
1345.7,2010,1,2
1498.2,2011,2,2
1660.8,2012,3,2
1825.2,2013,4,2
1896.2,2014,5,2
1839,2015,6,2
