rgn_id,year,key_sp,catch,Fam,code
1,2012,Alop_Thresher shark,3164,Alop,pelagic
1,2013,Alop_Thresher shark,1345,Alop,pelagic
1,2014,Alop_Thresher shark,1916,Alop,pelagic
1,2015,Alop_Thresher shark,1863,Alop,pelagic
1,2016,Alop_Thresher shark,591,Alop,pelagic
1,2012,Bram_Monchong,9295,Bram,pelagic
1,2013,Bram_Monchong,39341,Bram,pelagic
1,2014,Bram_Monchong,37469,Bram,pelagic
1,2015,Bram_Monchong,27631,Bram,pelagic
1,2016,Bram_Monchong,29422,Bram,pelagic
1,2013,Carc_Blue shark,0,Carc,pelagic
1,2013,Carc_Oceanic whitetip,80,Carc,pelagic
1,2014,Carc_Oceanic whitetip,0,Carc,pelagic
1,2015,Carc_Oceanic whitetip,0,Carc,pelagic
1,2012,Cory_Mahimahi,344688,Cory,pelagic
1,2013,Cory_Mahimahi,254074,Cory,pelagic
1,2014,Cory_Mahimahi,349617,Cory,pelagic
1,2015,Cory_Mahimahi,274956,Cory,pelagic
1,2016,Cory_Mahimahi,190230,Cory,pelagic
1,2012,Exoc_Walu,268,Exoc,pelagic
1,2013,Exoc_Walu,448,Exoc,pelagic
1,2014,Exoc_Walu,344,Exoc,pelagic
1,2015,Exoc_Walu,236,Exoc,pelagic
1,2016,Exoc_Walu,112,Exoc,pelagic
1,2012,Isti_Black marlin,2255,Isti,pelagic
1,2013,Isti_Black marlin,3380,Isti,pelagic
1,2014,Isti_Black marlin,2225,Isti,pelagic
1,2015,Isti_Black marlin,2301,Isti,pelagic
1,2016,Isti_Black marlin,2926,Isti,pelagic
1,2012,Isti_Blue marlin,147167,Isti,pelagic
1,2013,Isti_Blue marlin,129479,Isti,pelagic
1,2014,Isti_Blue marlin,155614,Isti,pelagic
1,2015,Isti_Blue marlin,153758,Isti,pelagic
1,2016,Isti_Blue marlin,105665,Isti,pelagic
1,2012,Isti_S.N. spearfish,14151,Isti,pelagic
1,2013,Isti_S.N. spearfish,14093,Isti,pelagic
1,2014,Isti_S.N. spearfish,10562,Isti,pelagic
1,2015,Isti_S.N. spearfish,14442,Isti,pelagic
1,2016,Isti_S.N. spearfish,21601,Isti,pelagic
1,2012,Isti_Sailfish,701,Isti,pelagic
1,2013,Isti_Sailfish,899,Isti,pelagic
1,2014,Isti_Sailfish,1178,Isti,pelagic
1,2015,Isti_Sailfish,2775,Isti,pelagic
1,2016,Isti_Sailfish,1050,Isti,pelagic
1,2012,Isti_Striped marlin,7169,Isti,pelagic
1,2013,Isti_Striped marlin,6065,Isti,pelagic
1,2014,Isti_Striped marlin,7485,Isti,pelagic
1,2015,Isti_Striped marlin,8020,Isti,pelagic
1,2016,Isti_Striped marlin,7797,Isti,pelagic
1,2012,Lamn_Mako,1613,Lamn,pelagic
1,2013,Lamn_Mako,815,Lamn,pelagic
1,2015,Lamn_Mako,831,Lamn,pelagic
