rgn_id,habitat,km2,notes,X5
1,reef,238.55,,
1,beach,55.92,units km not km2,
1,wetland,0.1648569,,
1,fishpond,0.23,fishpond updated layer by tnc 2017,
2,reef,238.55,,
2,beach,55.92,units km not km2,
2,wetland,0.1648569,,
2,fishpond,0.23,fishpond updated layer by tnc 2017,
