rgn_id,year,key_sp,score
1,2012,Acan_Kala,0.47
1,2012,Acan_Kala,0.1
1,2013,Acan_Kala,0.47
1,2013,Acan_Kala,0.1
1,2014,Acan_Kala,0.47
1,2014,Acan_Kala,0.1
1,2015,Acan_Kala,0.47
1,2015,Acan_Kala,0.1
1,2016,Acan_Kala,0.47
1,2016,Acan_Kala,0.1
1,2012,Acan_Opelu kala,0.43
1,2013,Acan_Opelu kala,0.43
1,2014,Acan_Opelu kala,0.43
1,2015,Acan_Opelu kala,0.43
1,2016,Acan_Opelu kala,0.43
1,2012,Acan_Palani,1.2
1,2013,Acan_Palani,1.2
1,2014,Acan_Palani,1.2
1,2015,Acan_Palani,1.2
1,2016,Acan_Palani,1.2
1,2012,Acan_Pualu,0.4
1,2013,Acan_Pualu,0.4
1,2014,Acan_Pualu,0.4
1,2015,Acan_Pualu,0.4
1,2016,Acan_Pualu,0.4
1,2012,Acan_Umaumalei,0.83
1,2013,Acan_Umaumalei,0.83
1,2014,Acan_Umaumalei,0.83
1,2015,Acan_Umaumalei,0.83
1,2016,Acan_Umaumalei,0.83
1,2012,Holo_Menpachi,1.97
1,2013,Holo_Menpachi,1.97
1,2014,Holo_Menpachi,1.97
1,2015,Holo_Menpachi,1.97
1,2016,Holo_Menpachi,1.97
1,2010,Isti_Blue marlin,1.13
1,2011,Isti_Blue marlin,1.17
1,2012,Isti_Blue marlin,1.18
1,2013,Isti_Blue marlin,1.25
1,2014,Isti_Blue marlin,1.25
1,2015,Isti_Blue marlin,1.263
1,2016,Isti_Blue marlin,1.283
1,2010,Isti_Striped marlin,0.35
1,2011,Isti_Striped marlin,0.31
1,2012,Isti_Striped marlin,0.36
1,2013,Isti_Striped marlin,0.39
1,2014,Isti_Striped marlin,0.36
1,2015,Isti_Striped marlin,0.36
1,2016,Isti_Striped marlin,0.36
1,2012,Leth_Mu,1.27
1,2013,Leth_Mu,1.27
1,2014,Leth_Mu,1.27
1,2015,Leth_Mu,1.27
1,2016,Leth_Mu,1.27
1,2010,Lutj_Ehu,0.84
1,2011,Lutj_Ehu,0.85
1,2012,Lutj_Ehu,0.85
1,2013,Lutj_Ehu,0.86
1,2014,Lutj_Ehu,0.83
1,2015,Lutj_Ehu,0.83
1,2016,Lutj_Ehu,0.83
1,2010,Lutj_Gindai,0.84
1,2011,Lutj_Gindai,0.85
1,2012,Lutj_Gindai,0.85
1,2013,Lutj_Gindai,0.86
1,2014,Lutj_Gindai,0.83
1,2015,Lutj_Gindai,0.83
1,2016,Lutj_Gindai,0.83
1,2010,Lutj_Kalekale,0.84
1,2011,Lutj_Kalekale,0.85
1,2012,Lutj_Kalekale,0.85
1,2013,Lutj_Kalekale,0.86
1,2014,Lutj_Kalekale,0.83
1,2015,Lutj_Kalekale,0.83
1,2016,Lutj_Kalekale,0.83
1,2010,Lutj_Lehi,0.84
1,2011,Lutj_Lehi,0.85
1,2012,Lutj_Lehi,0.85
1,2013,Lutj_Lehi,0.86
1,2014,Lutj_Lehi,0.83
1,2015,Lutj_Lehi,0.83
