rgn_id,year,key_sp,catch,Fam,code
1,2013,Bery_Alfonsin,54,Bery,deep
1,2014,Bery_Alfonsin,16,Bery,deep
1,2013,Cara_Butaguchi ulua,27,Cara,deep
1,2012,Cara_Gunkan ulua,60,Cara,deep
1,2013,Cara_Gunkan ulua,132,Cara,deep
1,2016,Cara_Gunkan ulua,140,Cara,deep
1,2012,Cara_Kahala,1322,Cara,deep
1,2013,Cara_Kahala,2077,Cara,deep
1,2014,Cara_Kahala,1152,Cara,deep
1,2015,Cara_Kahala,2554,Cara,deep
1,2016,Cara_Kahala,7207,Cara,deep
1,2012,Cara_White ulua,2138,Cara,deep
1,2013,Cara_White ulua,1130,Cara,deep
1,2014,Cara_White ulua,929,Cara,deep
1,2015,Cara_White ulua,941,Cara,deep
1,2016,Cara_White ulua,1325,Cara,deep
1,2012,Lutj_Ehu,7838,Lutj,deep
1,2013,Lutj_Ehu,11963,Lutj,deep
1,2014,Lutj_Ehu,7959,Lutj,deep
1,2015,Lutj_Ehu,11090,Lutj,deep
1,2016,Lutj_Ehu,6124,Lutj,deep
1,2012,Lutj_Gindai,1671,Lutj,deep
1,2013,Lutj_Gindai,2035,Lutj,deep
1,2014,Lutj_Gindai,1505,Lutj,deep
1,2015,Lutj_Gindai,1229,Lutj,deep
1,2016,Lutj_Gindai,841,Lutj,deep
1,2012,Lutj_Kalekale,3479,Lutj,deep
1,2013,Lutj_Kalekale,6933,Lutj,deep
1,2014,Lutj_Kalekale,7165,Lutj,deep
1,2015,Lutj_Kalekale,5749,Lutj,deep
1,2016,Lutj_Kalekale,4502,Lutj,deep
1,2012,Lutj_Lehi,5494,Lutj,deep
1,2013,Lutj_Lehi,9888,Lutj,deep
1,2014,Lutj_Lehi,4718,Lutj,deep
1,2015,Lutj_Lehi,5716,Lutj,deep
1,2016,Lutj_Lehi,6073,Lutj,deep
1,2012,Lutj_Onaga,6799,Lutj,deep
1,2013,Lutj_Onaga,10435,Lutj,deep
1,2014,Lutj_Onaga,9860,Lutj,deep
1,2015,Lutj_Onaga,6748,Lutj,deep
1,2016,Lutj_Onaga,12121,Lutj,deep
1,2012,Lutj_Opakapaka,20533,Lutj,deep
1,2013,Lutj_Opakapaka,26819,Lutj,deep
1,2014,Lutj_Opakapaka,32921,Lutj,deep
1,2015,Lutj_Opakapaka,28686,Lutj,deep
1,2016,Lutj_Opakapaka,36125,Lutj,deep
1,2012,Lutj_Taape,8060,Lutj,deep
1,2013,Lutj_Taape,4882,Lutj,deep
1,2014,Lutj_Taape,3490,Lutj,deep
1,2015,Lutj_Taape,3107,Lutj,deep
1,2016,Lutj_Taape,3610,Lutj,deep
1,2012,Lutj_Uku,9518,Lutj,deep
1,2013,Lutj_Uku,11998,Lutj,deep
1,2014,Lutj_Uku,13894,Lutj,deep
1,2015,Lutj_Uku,16984,Lutj,deep
1,2016,Lutj_Uku,19236,Lutj,deep
1,2012,Serr_Hapuupuu,2749,Serr,deep
1,2013,Serr_Hapuupuu,3363,Serr,deep
1,2014,Serr_Hapuupuu,2050,Serr,deep
1,2015,Serr_Hapuupuu,2623,Serr,deep
1,2016,Serr_Hapuupuu,2452,Serr,deep
2,2013,Bery_Alfonsin,54,Bery,deep
2,2014,Bery_Alfonsin,16,Bery,deep
2,2013,Cara_Butaguchi ulua,27,Cara,deep
2,2012,Cara_Gunkan ulua,60,Cara,deep
2,2013,Cara_Gunkan ulua,132,Cara,deep
2,2016,Cara_Gunkan ulua,140,Cara,deep
2,2012,Cara_Kahala,1322,Cara,deep
2,2013,Cara_Kahala,2077,Cara,deep
2,2014,Cara_Kahala,1152,Cara,deep
2,2015,Cara_Kahala,2554,Cara,deep
2,2016,Cara_Kahala,7207,Cara,deep
2,2012,Cara_White ulua,2138,Cara,deep
2,2013,Cara_White ulua,1130,Cara,deep
2,2014,Cara_White ulua,929,Cara,deep
2,2015,Cara_White ulua,941,Cara,deep
2,2016,Cara_White ulua,1325,Cara,deep
2,2012,Lutj_Ehu,7838,Lutj,deep
2,2013,Lutj_Ehu,11963,Lutj,deep
2,2014,Lutj_Ehu,7959,Lutj,deep
2,2015,Lutj_Ehu,11090,Lutj,deep
2,2016,Lutj_Ehu,6124,Lutj,deep
2,2012,Lutj_Gindai,1671,Lutj,deep
2,2013,Lutj_Gindai,2035,Lutj,deep
2,2014,Lutj_Gindai,1505,Lutj,deep
2,2015,Lutj_Gindai,1229,Lutj,deep
2,2016,Lutj_Gindai,841,Lutj,deep
2,2012,Lutj_Kalekale,3479,Lutj,deep
2,2013,Lutj_Kalekale,6933,Lutj,deep
2,2014,Lutj_Kalekale,7165,Lutj,deep
2,2015,Lutj_Kalekale,5749,Lutj,deep
2,2016,Lutj_Kalekale,4502,Lutj,deep
