rgn_id,habitat,health,X4
1,beach,0.28,
1,reef,0.81,
1,wetland,0.25,
1,fishpond,,fishpond updated layer by tnc 2017
2,beach,0.28,
2,reef,0.81,
2,wetland,0.25,
2,fishpond,,fishpond updated layer by tnc 2017
