rgn_id,year,species,lbs,tonnes,value,reference
1,2007,finfish,533000,241.764536,4583000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
1,2008,finfish,1311000,594.659112,7022000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
1,2009,finfish,821000,372.399032,4447000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
1,2007,shellfish,65000,29.48348,520000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
1,2008,shellfish,32000,14.514944,261000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
1,2009,shellfish,56000,25.401152,420000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
1,2010,shellfish,76000,34.472992,575000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
1,2010,finfish,211000,95.707912,1012000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
1,2011,shellfish,55000,24.94756,413000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
1,2011,finfish,315000,142.88148,1493000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
2,2007,finfish,533000,241.764536,4583000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
2,2008,finfish,1311000,594.659112,7022000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
2,2009,finfish,821000,372.399032,4447000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
2,2007,shellfish,65000,29.48348,520000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
2,2008,shellfish,32000,14.514944,261000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
2,2009,shellfish,56000,25.401152,420000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
2,2010,shellfish,76000,34.472992,575000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
2,2010,finfish,211000,95.707912,1012000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
2,2011,shellfish,55000,24.94756,413000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
2,2011,finfish,315000,142.88148,1493000,Hawaii DOA stats (https://www.nass.usda.gov/Statistics_by_State/Hawaii/Publications/Annual_Statistical_Bulletin/2011/2011HawaiiAgStats.pdf)
