rgn_id,year,sector,value
1,2005,Marine Construction,
1,2005,Living Resources,43227.27273
1,2005,Offshore Mineral Extraction,
1,2005,Ship and Boat Building,
1,2005,Tourism and Recreation,25681.01528
1,2005,Marine Transportation,
1,2005,All Ocean Sectors,25803.01833
1,2006,Marine Construction,
1,2006,Living Resources,
1,2006,Offshore Mineral Extraction,
1,2006,Ship and Boat Building,
1,2006,Tourism and Recreation,26290.11647
1,2006,Marine Transportation,
1,2006,All Ocean Sectors,26290.11647
1,2007,Marine Construction,44545.45455
1,2007,Living Resources,42458.82353
1,2007,Offshore Mineral Extraction,
1,2007,Ship and Boat Building,
1,2007,Tourism and Recreation,27249.65584
1,2007,Marine Transportation,
1,2007,All Ocean Sectors,27368.74247
1,2008,Marine Construction,47815.78947
1,2008,Living Resources,41853.93258
1,2008,Offshore Mineral Extraction,
1,2008,Ship and Boat Building,
1,2008,Tourism and Recreation,27615.10005
1,2008,Marine Transportation,
1,2008,All Ocean Sectors,27784.37734
1,2009,Marine Construction,
1,2009,Living Resources,43094.11765
1,2009,Offshore Mineral Extraction,
1,2009,Ship and Boat Building,
1,2009,Tourism and Recreation,27376.15271
1,2009,Marine Transportation,
1,2009,All Ocean Sectors,27498.49026
1,2010,Marine Construction,
1,2010,Living Resources,46535.21127
1,2010,Offshore Mineral Extraction,
1,2010,Ship and Boat Building,
1,2010,Tourism and Recreation,28204.94172
1,2010,Marine Transportation,
1,2010,All Ocean Sectors,28325.49092
1,2011,Marine Construction,
1,2011,Living Resources,46260.27397
1,2011,Offshore Mineral Extraction,
1,2011,Ship and Boat Building,
1,2011,Tourism and Recreation,28998.15106
1,2011,Marine Transportation,
1,2011,All Ocean Sectors,29113.86593
1,2012,Marine Construction,
1,2012,Living Resources,43194.80519
1,2012,Offshore Mineral Extraction,
1,2012,Ship and Boat Building,
1,2012,Tourism and Recreation,29257.61798
1,2012,Marine Transportation,
1,2012,All Ocean Sectors,29353.41903
1,2013,Marine Construction,
1,2013,Living Resources,43328.94737
1,2013,Offshore Mineral Extraction,
1,2013,Ship and Boat Building,
1,2013,Tourism and Recreation,29370.37037
1,2013,Marine Transportation,
1,2013,All Ocean Sectors,29463.29713
2,2005,Marine Construction,
2,2005,Living Resources,43227.27273
2,2005,Offshore Mineral Extraction,
2,2005,Ship and Boat Building,
2,2005,Tourism and Recreation,25681.01528
2,2005,Marine Transportation,
2,2005,All Ocean Sectors,25803.01833
2,2006,Marine Construction,
2,2006,Living Resources,
2,2006,Offshore Mineral Extraction,
2,2006,Ship and Boat Building,
2,2006,Tourism and Recreation,26290.11647
2,2006,Marine Transportation,
2,2006,All Ocean Sectors,26290.11647
2,2007,Marine Construction,44545.45455
2,2007,Living Resources,42458.82353
2,2007,Offshore Mineral Extraction,
2,2007,Ship and Boat Building,
2,2007,Tourism and Recreation,27249.65584
2,2007,Marine Transportation,
2,2007,All Ocean Sectors,27368.74247
2,2008,Marine Construction,47815.78947
2,2008,Living Resources,41853.93258
2,2008,Offshore Mineral Extraction,
2,2008,Ship and Boat Building,
2,2008,Tourism and Recreation,27615.10005
2,2008,Marine Transportation,
2,2008,All Ocean Sectors,27784.37734
2,2009,Marine Construction,
2,2009,Living Resources,43094.11765
2,2009,Offshore Mineral Extraction,
2,2009,Ship and Boat Building,
2,2009,Tourism and Recreation,27376.15271
2,2009,Marine Transportation,
2,2009,All Ocean Sectors,27498.49026
2,2010,Marine Construction,
2,2010,Living Resources,46535.21127
2,2010,Offshore Mineral Extraction,
2,2010,Ship and Boat Building,
2,2010,Tourism and Recreation,28204.94172
2,2010,Marine Transportation,
2,2010,All Ocean Sectors,28325.49092
2,2011,Marine Construction,
2,2011,Living Resources,46260.27397
2,2011,Offshore Mineral Extraction,
2,2011,Ship and Boat Building,
2,2011,Tourism and Recreation,28998.15106
2,2011,Marine Transportation,
2,2011,All Ocean Sectors,29113.86593
2,2012,Marine Construction,
2,2012,Living Resources,43194.80519
2,2012,Offshore Mineral Extraction,
2,2012,Ship and Boat Building,
2,2012,Tourism and Recreation,29257.61798
2,2012,Marine Transportation,
2,2012,All Ocean Sectors,29353.41903
2,2013,Marine Construction,
2,2013,Living Resources,43328.94737
2,2013,Offshore Mineral Extraction,
2,2013,Ship and Boat Building,
2,2013,Tourism and Recreation,29370.37037
2,2013,Marine Transportation,
2,2013,All Ocean Sectors,29463.29713
