rgn_id,Common name,Species name,ESA Status,score
1,Blainville’s beaked whale,Mesoplodon densirostris,NC,1
1,Blue whale,Balaenoptera musculus musculus,E,0.4
1,Bryde’s whale,Balaenoptera edeni,NC,1
1,Common bottlenose dolphin,Tursiops truncatus truncatus,NC,1
1,Cuvier’s beaked whale,Ziphius cavirostris,NC,1
1,Dwarf sperm whale,Kogia sima,NC,1
1,False killer whale,Pseudorca crassidens,E,0.4
1,Fin whale,Balaenoptera physalus physalus,E,0.4
1,Fraser’s dolphin,Lagenodelphis hosei,NC,1
1,Green,Chelonia mydas,T,0.6
1,Hawaiian monk seal,Neomonachus schauinslandi,E,0.4
1,Hawksbill,Ertmochelys imbricata,E,0.4
1,Humpback whale,Megaptera novaeangliae,E,0.4
1,Killer whale,Orcinus orca,NC,1
1,Leatherback,Dermochelys cariacea,E,0.4
1,Loggerhead,Caretta caretta,E,0.4
1,Longman’s beaked whale,Indopacetus pacificus,NC,1
1,Melon-headed whale,Peponocephala electra,NC,1
1,Minke whale,Balaenoptera acutorostrata scammoni,NC,1
1,North Pacific right,Lissodelphis borealis,NC,1
1,Olive Ridley,Lepidochelys olivacea,T,0.6
1,Pantropical spotted dolphin,Stenella attenuata attenuata,NC,1
1,Pygmy killer whale,Feresa attenuata,NC,1
1,Pygmy sperm whale,Kogia breviceps,NC,1
1,Risso’s dolphin,Grampus griseus,NC,1
1,Rough-toothed dolphin,Steno bredanensis,NC,1
1,Sei whale,Balaenoptera borealis borealis,E,0.4
1,Short-finned pilot whale,Globicephala macrorhynchus,NC,0.4
1,Sperm whale,Physeter macrocephalus,E,0.4
1,Spinner dolphin,Stenella longirostris longirostris),NC,1
1,Striped dolphin,Stenella coeruleoalba,NC,1
1,Laysan albatross,Phoebastria immutabilis,,1
1,Black-footed albatross,Phoebastria nigripes,,1
1,Short-tailed albatross,Phoebastria albatrus,E,0.4
1,Wedge-tailed shearwater,Puffinus pacificus,,1
1,Bonin petrel,Pterodroma hypoleuca,,1
1,Leach?s storm petrel,Oceanodroma leucorhoa,,1
1,Great frigatebird,Fregata minor,,1
1,Brown booby,Sula leucogaster,,1
1,Red-footed booby,Sula sula,,1
1,White or ferry tern,Gygis alba,,1
1,Hawaiian black noddy,Anous minutus melanogenys,,1
1,Brown noddy,Anous stolidus,,1
1,Sooty tern,Sterna fuscata,,1
1,Gray-backed tern,Sterna lunata,,1
1,Red-tailed tropicbird,Phaethon rubricauda,,1
1,White-tailed tropic bird,Phaethon lepturus,,1
1,Pomarine jaeger,Stercorarius pomarinus,,1
1,Nehe,Melanthera integrifolia,v,1
1,Pa?uohi?iaka,Jacquemontia ovalifolia,,1
1,?Anaunau,Lepidium bedentatum,v,1
1,?Ena?ena,Psuedognaphalium sandwicensium,,1
1,Schidea,Schiedea globosa,v,1
1,Kauna?oa,Cuscuta sandwichiana,,1
1,Degener?s ?akoko,Euphorbia degeneri,v,1
1,Ka?ena ?akoko,Euphorbia celastroides var. kaenana,e,0.4
1,coastal sandalwood,Santalum ellipticum,v,1
1,East Maui ?Akoko,Euphorbia celastroides var. laechiensis,e,0.4
1,"Caper bush, Pua pilo or Maiapilo",Capparis sandwichiana,v,1
1,?Ohai,Sesbania tomentosa,e,0.4
1,?Ihi,Portulaca molokiniensis,e,0.4
1,Hawaiian Cotton/ Ma?o,Gossypium tomentosum,v,1
1,Popolo,Solanum nelsonii,e,0.4
1,Dwarf naupaka,Scaevola coriacsea,e,0.4
1,Kawelu,Eragrostis variabilis,,1
1,Hinahina Kahakai,Nama sandwicensis,v,1
1,Hairy Purslane/?Ihi,Portulaca villosa,e,0.4
1,Kilauea Portulaca/?Ihi makole,Portulaca sclerocarpa,e,0.4
1,Nehe,Lipochaeta succulenta,,1
1,Beach Naupaka kahakai,Scaevola sericea,,1
1,Beach vitex/Pohinahina,Vitex rotundifolia,,1
1,Beach morning glory/ Pohuehue,Ipomoea pes-caprae,,1
1,Hunakai,Ipomoea imperati,,1
1,Coastal morning glory/Koali?awa,Ipomoea littoralis,,1
1,Indian morning glory/ Koali?awa,Ipomoea indica,,1
1,Ivy-leaved morning glory/Koali?ai,Ipomoea cairica,,1
1,Beach pea/nanea,Vigna marina,,1
1,?Ilima,Sida fallax,,1
1,Puncture vine/Nohu,Tribulus cistoides,,1
1,Hinahina,Heliotropium anomalum,,1
1,Nena/Kipukai,Heliotropium curassavicum,,1
1,Sea purslane/?Akulikuli,Sesuvium portulacastrum,,1
1,Water Hyssop/?Ae?ae,Bacopa monnieri,,1
1,?Ihi,Portulaca lutea,,1
1,?Ohelo kai,Lycium sandwicense,,1
1,Alena,Boerhavia repens,,1
1,?Uhaloa/Hi?aloa,Waltheria indica,,1
1,Pandanus/hala/Pu hala,Pandanus tectorius,,1
1,Bastard sandalwood/Naio,Myoporum sandwicense,,1
1,Moonseed/Huehue,Cocculus orbiculatus,,1
1,Seashore rushgrass/?Aki?aki,Sporobolus virginicus,,1
1,Mau?u/?Aki?aki,Fimbristylis cymosa subsp. Spathacea,,1
1,Mau?u/?Aki?aki,Fimbristylis cymosa subsp. Umbellato-capitata,,1
1,Milo,Thespesia populnea,,1
1,Hau,Talipariti tiliaceus,,1
1,Coconut palm/Niu,Cocos nucifera,,1
1,Kamai/Alexandrian Laurel,Calophyllum inophyllum,,1
1,Uki,Cladium jamaicense,,1
